Demand;SolarPV;Wind
14327.57981;0;0.582
11381.09166;0;0.678
10076.53965;0;0.712
9739.15551;0;0.717
9581.709578;0;0.709
9761.647786;0;0.696
9626.69413;0.253;0.669
9604.201854;0.359;0.637
9806.632338;0.419;0.605
10031.5551;0.41;0.576
10548.87745;0.391;0.554
11021.21524;0.321;0.548
11066.19979;0.231;0.539
10908.75386;0.143;0.527
10683.8311;0.053;0.517
10683.8311;0;0.527
12078.35221;0;0.545
14574.99485;0;0.57
16644.28424;0;0.598
14372.56437;0;0.617
14462.53347;0;0.626
12325.76725;0;0.631
11021.21524;0;0.634
10256.47786;0;0.634
9356.786818;0;0.703
8996.910402;0;0.752
8929.433574;0;0.745
8547.064882;0;0.705
8906.941298;0.03;0.645
9266.817714;0.184;0.586
8704.510814;0.381;0.544
8659.526262;0.527;0.511
10211.49331;0.612;0.478
7692.358393;0.623;0.454
12258.29042;0.605;0.441
11830.93718;0.535;0.422
11853.42945;0.442;0.395
11808.4449;0.292;0.372
11583.52214;0.124;0.352
10346.44696;0.002;0.339
10841.27703;0;0.33
14574.99485;0;0.318
17004.16066;0;0.309
16126.96189;0;0.307
14754.93306;0;0.305
12708.13594;0;0.294
11066.19979;0;0.261
10796.29248;0;0.223
9131.864058;0;0.244
8682.018538;0;0.286
8299.649846;0;0.297
8254.665294;0;0.28
8704.510814;0.061;0.26
0;0.27;0.246
8479.588054;0.458;0.238
8884.449022;0.589;0.222
10076.53965;0.66;0.198
10368.93924;0.669;0.189
11628.50669;0.647;0.213
11628.50669;0.597;0.238
11628.50669;0.482;0.26
11606.01442;0.342;0.264
11021.21524;0.152;0.251
10796.29248;0.002;0.239
10796.29248;0;0.233
14057.6725;0;0.221
17319.05252;0;0.212
14260.10299;0;0.209
14102.65705;0;0.211
11853.42945;0;0.21
10728.81565;0;0.21
10436.41607;0;0.201
9154.356334;0;0.217
8794.479918;0;0.244
8547.064882;0;0.241
8659.526262;0;0.203
9829.124614;0.016;0.154
11336.10711;0.114;0.105
9289.30999;0.257;0.072
8839.46447;0.395;0.058
10144.01648;0.483;0.055
12595.67456;0.513;0.076
12202.05973;0.51;0.121
12528.19773;0.474;0.163
14282.59526;0.376;0.191
14372.56437;0.239;0.209
14282.59526;0.091;0.218
13652.81153;0.001;0.222
12505.70546;0;0.222
14395.05664;0;0.227
17364.03708;0;0.239
16374.37693;0;0.254
14192.62616;0;0.28
12505.70546;0;0.315
10413.92379;0;0.345
10009.06282;0;0.361
8929.433574;0;0.435
8592.049434;0;0.513
8277.15757;0;0.528
8164.696189;0;0.521
11043.70752;0.05;0.516
11111.18435;0.233;0.51
8839.46447;0.415;0.508
8996.910402;0.557;0.501
11471.06076;0.638;0.493
12415.73635;0.667;0.46
13540.35015;0.635;0.431
13472.87333;0.578;0.423
13652.81153;0.472;0.417
14012.68795;0.338;0.422
13832.74974;0.148;0.434
13382.90422;0.003;0.467
12438.22863;0;0.5
13630.31926;0;0.523
17116.62204;0;0.534
16014.50051;0;0.547
2249.2276;0;0.571
10413.92379;0;0.586
9064.38723;0;0.583
8749.495366;0;0.614
7894.788877;0;0.678
7624.881565;0;0.697
7399.958805;0;0.68
7377.466529;0;0.675
8771.987642;0.065;0.68
10706.32338;0.273;0.677
8412.111226;0.456;0.663
8502.08033;0.588;0.634
11606.01442;0.645;0.598
12843.0896;0.655;0.565
13382.90422;0.604;0.521
13337.91967;0.539;0.497
13382.90422;0.432;0.446
13810.25747;0.307;0.403
13495.3656;0.138;0.406
13023.02781;0.002;0.442
12123.33677;0;0.481
15384.71679;0;0.52
17026.65294;0;0.548
16351.88465;0;0.561
