hour,power,SolarGen,Wind
0,8.5,0,0.847
1,15.5,0,0.794
2,17,0,0.752
3,9,0,0.718
4,6,0,0.689
5,0,0,0.664
6,321,0.004,0.649
7,44,0.049,0.627
8,545,0.103,0.628
9,430,0.153,0.651
10,183,0.203,0.71
11,27,0.267,0.805
12,341,0.303,0.891
13,202,0.305,0.941
14,46,0.278,0.966
15,357.5,0.212,0.972
16,106,0.088,0.972
17,124,0.002,0.97
18,130,0,0.971
19,245,0,0.971
20,285.5,0,0.977
21,529.5,0,0.982
22,33,0,0.983
23,27,0,0.984
24,155.5,0,0.983
25,8,0,0.98
26,2.5,0,0.975
27,6,0,0.968
28,0,0,0.961
29,3,0,0.948
30,168,0.017,0.934
31,24,0.166,0.933
32,223.5,0.347,0.948
33,1038,0.492,0.962
34,185,0.564,0.968
35,29,0.58,0.973
36,193,0.538,0.972
37,85,0.47,0.965
38,42.5,0.373,0.954
39,406.5,0.258,0.943
40,107,0.101,0.924
41,77.5,0.002,0.889
42,188,0,0.847
43,406,0,0.82
44,79,0,0.807
45,347,0,0.803
46,30,0,0.797
47,42,0,0.8
48,158.5,0,0.82
49,11,0,0.827
50,5.5,0,0.832
51,3,0,0.835
52,0,0,0.836
53,0,0,0.822
54,309,0.031,0.797
55,27,0.228,0.783
56,432,0.432,0.83
57,326.5,0.561,0.856
58,188.5,0.578,0.849
59,22.5,0.605,0.84
60,223.5,0.567,0.829
61,62.5,0.486,0.817
62,292.5,0.396,0.808
63,684.5,0.273,0.801
64,337,0.122,0.783
65,112,0.004,0.75
66,276.5,0,0.724
67,240,0,0.713
68,144,0,0.705
69,341,0,0.697
70,48,0,0.674
71,57,0,0.64
72,150,0,0.605
73,5,0,0.575
74,8,0,0.554
75,3,0,0.533
76,3,0,0.515
77,9,0,0.459
78,309,0.042,0.413
79,12,0.263,0.391
80,34,0.466,0.49
81,693.5,0.604,0.541
82,186,0.66,0.521
83,42,0.676,0.492
84,314,0.648,0.465
85,158.5,0.595,0.443
86,40,0.511,0.428
87,346,0.32,0.41
88,64,0.152,0.38
89,93,0.006,0.35
90,269,0,0.341
91,479.5,0,0.315
92,483.5,0,0.294
93,37.5,0,0.271
94,51,0,0.264
95,39,0,0.26
96,28.5,0,0.26
97,11,0,0.263
98,6,0,0.265
99,6,0,0.271
100,6,0,0.275
101,6,0,0.268
102,306,0.049,0.262
103,24,0.276,0.256
104,218,0.469,0.335
105,334.5,0.6,0.395
106,429,0.632,0.409
107,36,0.625,0.425
108,203,0.65,0.451
109,42.5,0.599,0.482
110,42.5,0.488,0.513
111,184.5,0.306,0.52
112,101,0.144,0.475
113,122,0.005,0.389
114,415.5,0,0.342
115,213,0,0.318
116,446,0,0.284
117,332,0,0.257
118,33,0,0.243
119,48,0,0.288
120,158.5,0,0.307
121,14.5,0,0.307
122,5.5,0,0.298
123,3,0,0.315
124,3,0,0.302
125,0,0,0.291
126,165,0.038,0.274
127,15,0.232,0.235
128,677,0.428,0.249
129,824,0.579,0.267
130,426.5,0.679,0.256
131,25.5,0.722,0.253
132,312,0.727,0.262
133,40,0.656,0.285
134,90,0.534,0.326
135,391,0.352,0.367
136,112,0.127,0.386
137,136,0.004,0.403
138,260,0,0.408
139,104,0,0.404
140,280.5,0,0.391
141,382,0,0.382
142,54,0,0.374
143,33,0,0.377
144,18,0,0.397
145,12,0,0.399
146,3,0,0.404
147,3,0,0.404
148,0,0,0.395
149,6,0,0.393
150,309,0.044,0.391
151,33,0.262,0.379
152,47,0.479,0.419
153,388,0.622,0.461
154,538,0.705,0.511
155,273.5,0.727,0.57
156,225,0.714,0.616
157,262,0.657,0.638
158,126,0.572,0.652
159,443,0.415,0.654
160,94,0.198,0.639
161,66.5,0.008,0.584
162,351,0,0.527
163,185,0,0.507
164,233,0,0.494
165,330,0,0.498
166,30,0,0.493
167,18,0,0.498
