hour,power,SolarGen,Wind
0,75,0,0.847
1,80.5,0,0.794
2,91.5,0,0.752
3,81,0,0.718
4,81,0,0.689
5,78,0,0.664
6,84,0.004,0.649
7,105,0.049,0.627
8,123,0.103,0.628
9,114,0.153,0.651
10,125,0.203,0.71
11,120.5,0.267,0.805
12,129,0.303,0.891
13,160,0.305,0.941
14,135,0.278,0.966
15,437,0.212,0.972
16,395,0.088,0.972
17,125,0.002,0.97
18,99,0,0.971
19,607.5,0,0.971
20,430,0,0.977
21,84.5,0,0.982
22,111,0,0.983
23,105,0,0.984
24,75,0,0.983
25,81,0,0.98
26,81,0,0.975
27,84,0,0.968
28,87,0,0.961
29,81,0,0.948
30,355,0.017,0.934
31,358,0.166,0.933
32,104,0.347,0.948
33,103,0.492,0.962
34,98,0.564,0.968
35,104.5,0.58,0.973
36,127,0.538,0.972
37,128.5,0.47,0.965
38,162.5,0.373,0.954
39,196,0.258,0.943
40,173,0.101,0.924
41,184.5,0.002,0.889
42,185,0,0.847
43,347,0,0.82
44,198.5,0,0.807
45,342.5,0,0.803
46,126,0,0.797
47,117,0,0.8
48,100.5,0,0.82
49,86,0,0.827
50,80,0,0.832
51,75,0,0.835
52,75,0,0.836
53,84,0,0.822
54,84,0.031,0.797
55,98,0.228,0.783
56,112,0.432,0.83
57,121.5,0.561,0.856
58,131.5,0.578,0.849
59,114,0.605,0.84
60,93,0.567,0.829
61,92,0.486,0.817
62,152,0.396,0.808
63,408,0.273,0.801
64,428,0.122,0.783
65,182,0.004,0.75
66,168,0,0.724
67,559,0,0.713
68,194,0,0.705
69,134,0,0.697
70,114,0,0.674
71,99,0,0.64
72,87,0,0.605
73,103,0,0.575
74,88.5,0,0.554
75,75,0,0.533
76,75,0,0.515
77,78,0,0.459
78,81,0.042,0.413
79,98,0.263,0.391
80,504.5,0.466,0.49
81,93,0.604,0.541
82,105,0.66,0.521
83,142,0.676,0.492
84,161,0.648,0.465
85,126,0.595,0.443
86,660,0.511,0.428
87,411,0.32,0.41
88,136,0.152,0.38
89,139,0.006,0.35
90,182,0,0.341
91,443,0,0.315
92,240.5,0,0.294
93,139.5,0,0.271
94,93,0,0.264
95,96,0,0.26
96,75,0,0.26
97,83,0,0.263
98,81,0,0.265
99,78,0,0.271
100,81,0,0.275
101,81,0,0.268
102,96,0.049,0.262
103,100.5,0.276,0.256
104,127,0.469,0.335
105,137,0.6,0.395
106,140,0.632,0.409
107,108,0.625,0.425
108,139,0.65,0.451
109,172,0.599,0.482
110,669.5,0.488,0.513
111,390.5,0.306,0.52
112,141.5,0.144,0.475
113,144.5,0.005,0.389
114,153,0,0.342
115,381,0,0.318
116,379,0,0.284
117,131,0,0.257
118,108,0,0.243
119,105,0,0.288
120,90,0,0.307
121,87,0,0.307
122,81,0,0.298
123,75,0,0.315
124,81,0,0.302
125,78,0,0.291
126,84,0.038,0.274
127,340,0.232,0.235
128,593,0.428,0.249
129,87,0.579,0.267
130,90,0.679,0.256
131,107,0.722,0.253
132,124.5,0.727,0.262
133,143.5,0.656,0.285
134,171,0.534,0.326
135,223,0.352,0.367
136,247,0.127,0.386
137,157,0.004,0.403
138,165.5,0,0.408
139,590.5,0,0.404
140,428,0,0.391
141,136.5,0,0.382
142,102,0,0.374
143,73.5,0,0.377
144,75,0,0.397
145,80,0,0.399
146,83.5,0,0.404
147,81,0,0.404
148,75,0,0.395
149,78,0,0.393
150,81,0.044,0.391
151,96,0.262,0.379
152,111,0.479,0.419
153,120,0.622,0.461
154,123,0.705,0.511
155,101.5,0.727,0.57
156,94,0.714,0.616
157,75,0.657,0.638
158,347.5,0.572,0.652
159,629.5,0.415,0.654
160,353.5,0.198,0.639
161,180.5,0.008,0.584
162,146,0,0.527
163,541.5,0,0.507
164,160,0,0.494
165,313.5,0,0.498
166,105,0,0.493
167,108,0,0.498
