hour,power,SolarGen,Wind
0,22.5,0,0.847
1,24,0,0.794
2,24,0,0.752
3,21,0,0.718
4,22,0,0.689
5,21,0,0.664
6,27,0.004,0.649
7,28,0.049,0.627
8,231.5,0.103,0.628
9,34.5,0.153,0.651
10,35,0.203,0.71
11,39.5,0.267,0.805
12,32,0.303,0.891
13,26.5,0.305,0.941
14,169,0.278,0.966
15,293,0.212,0.972
16,146,0.088,0.972
17,27,0.002,0.97
18,31,0,0.971
19,60,0,0.971
20,49,0,0.977
21,31,0,0.982
22,32,0,0.983
23,28,0,0.984
24,23.5,0,0.983
25,24,0,0.98
26,23,0,0.975
27,20,0,0.968
28,20,0,0.961
29,22,0,0.948
30,257,0.017,0.934
31,266,0.166,0.933
32,36.5,0.347,0.948
33,135,0.492,0.962
34,38,0.564,0.968
35,32,0.58,0.973
36,33,0.538,0.972
37,36,0.47,0.965
38,50.5,0.373,0.954
39,33.5,0.258,0.943
40,31,0.101,0.924
41,60,0.002,0.889
42,49,0,0.847
43,144,0,0.82
44,154,0,0.807
45,30,0,0.803
46,31,0,0.797
47,33,0,0.8
48,23,0,0.82
49,24,0,0.827
50,21,0,0.832
51,22,0,0.835
52,21,0,0.836
53,20,0,0.822
54,22,0.031,0.797
55,25,0.228,0.783
56,26,0.432,0.83
57,260.5,0.561,0.856
58,266.5,0.578,0.849
59,39.5,0.605,0.84
60,32,0.567,0.829
61,29,0.486,0.817
62,36.5,0.396,0.808
63,55.5,0.273,0.801
64,58.5,0.122,0.783
65,75.5,0.004,0.75
66,67,0,0.724
67,149.5,0,0.713
68,65,0,0.705
69,229,0,0.697
70,29,0,0.674
71,30,0,0.64
72,24,0,0.605
73,23,0,0.575
74,27,0,0.554
75,21,0,0.533
76,22,0,0.515
77,22,0,0.459
78,29,0.042,0.413
79,29,0.263,0.391
80,28,0.466,0.49
81,31,0.604,0.541
82,33,0.66,0.521
83,155.5,0.676,0.492
84,274,0.648,0.465
85,35,0.595,0.443
86,42.5,0.511,0.428
87,42,0.32,0.41
88,32.5,0.152,0.38
89,46,0.006,0.35
90,40,0,0.341
91,229,0,0.315
92,36,0,0.294
93,37,0,0.271
94,25,0,0.264
95,32,0,0.26
96,22,0,0.26
97,21.5,0,0.263
98,25,0,0.265
99,24,0,0.271
100,21,0,0.275
101,22,0,0.268
102,24,0.049,0.262
103,31,0.276,0.256
104,29,0.469,0.335
105,31,0.6,0.395
106,35,0.632,0.409
107,32,0.625,0.425
108,144,0.65,0.451
109,257,0.599,0.482
110,141.5,0.488,0.513
111,53,0.306,0.52
112,51,0.144,0.475
113,54.5,0.005,0.389
114,59,0,0.342
115,53.5,0,0.318
116,147,0,0.284
117,133.5,0,0.257
118,24,0,0.243
119,28,0,0.288
120,21,0,0.307
121,24,0,0.307
122,20,0,0.298
123,20,0,0.315
124,22,0,0.302
125,23,0,0.291
126,21,0.038,0.274
127,25,0.232,0.235
128,129,0.428,0.249
129,33.5,0.579,0.267
130,35.5,0.679,0.256
131,151.5,0.722,0.253
132,271.5,0.727,0.262
133,50,0.656,0.285
134,65,0.534,0.326
135,28,0.352,0.367
136,32.5,0.127,0.386
137,43,0.004,0.403
138,43,0,0.408
139,247,0,0.404
140,60.5,0,0.391
141,45,0,0.382
142,39,0,0.374
143,38,0,0.377
144,21.5,0,0.397
145,25.5,0,0.399
146,23.5,0,0.404
147,21,0,0.404
148,20,0,0.395
149,22,0,0.393
150,30,0.044,0.391
151,34,0.262,0.379
152,371.5,0.479,0.419
153,39.5,0.622,0.461
154,33.5,0.705,0.511
155,44,0.727,0.57
156,58,0.714,0.616
157,39,0.657,0.638
158,26,0.572,0.652
159,32.5,0.415,0.654
160,40,0.198,0.639
161,32.5,0.008,0.584
162,38.5,0,0.527
163,40,0,0.507
164,28.5,0,0.494
165,234.5,0,0.498
166,29,0,0.493
167,28,0,0.498
