,case,filename,demand_annual_kWh,demand_peak_kW,demand_annual_supplied_kWh,national_grid_reliability,national_grid_total_blackout_duration,national_grid_number_of_blackouts,capacity_pv_kWp,capacity_storage_kWh,capacity_genset_kW,capacity_pcoupling_kW,res_share,consumption_fuel_annual,consumption_main_grid_annual,feedin_main_grid_annual,annuity_pv,annuity_storage,annuity_genset,annuity_pcoupling,annuity_grid_extension,annuity_project_fix,annuity_operational,expenditures_fuel_annual,expenditures_main_grid_consumption_annual,revenue_main_grid_feedin_annual,costs_pv,costs_storage,costs_genset,costs_pcoupling,costs_grid_extension,costs_project_fix,costs_operation,expenditures_fuel_total,expenditures_main_grid_consumption_total,revenue_main_grid_feedin_total,annuity,npv,lcoe,objective_value,simulation_time,stability_limit,price_fuel,blackout_duration
10,base_oem,results_base_oem_s_stability_limit_0.25_price_fuel_2.0_blackout_duration_4.0,188273.8839,59.109,188273.8839,,,,68.97284,0.0,59.109,0,0.39369,345916.15643,,,9117.16384,0.0,5662.26778,0.0,0,2208.1817,2625.50363,69183.23129,,,68100.14135,0.0,42293.99,0.0,0.0,16493.88872,19611.05135,516760.24584,,,88796.34824,663259.31726,0.47163,86588.16654,51.14645,0.25,2.0,4.0
11,base_oem,results_base_oem_s_stability_limit_0.25_price_fuel_2.0_blackout_duration_6.0,188273.8839,59.109,188273.8839,,,,68.97284,0.0,59.109,0,0.39369,345916.15643,,,9117.16384,0.0,5662.26778,0.0,0,2208.1817,2625.50363,69183.23129,,,68100.14135,0.0,42293.99,0.0,0.0,16493.88872,19611.05135,516760.24584,,,88796.34824,663259.31726,0.47163,86588.16654,46.74645,0.25,2.0,6.0
12,base_oem,results_base_oem_s_stability_limit_0.25_price_fuel_3.0_blackout_duration_2.0,188273.8839,59.109,188273.8839,,,,143.91437,384.30336,6.58077,0,0.95616,25009.2049,,,19023.29749,72577.77547,630.39595,0.0,0,2208.1817,189.81987,7502.76147,,,142093.44818,542115.60224,4708.70699,0.0,0.0,16493.88872,1417.84878,56041.45383,,,102132.23195,762870.94875,0.54247,99924.05025,45.51978,0.25,3.0,2.0
13,base_oem,results_base_oem_s_stability_limit_0.25_price_fuel_3.0_blackout_duration_4.0,188273.8839,59.109,188273.8839,,,,143.91437,384.30336,6.58077,0,0.95616,25009.2049,,,19023.29749,72577.77547,630.39595,0.0,0,2208.1817,189.81987,7502.76147,,,142093.44818,542115.60224,4708.70699,0.0,0.0,16493.88872,1417.84878,56041.45383,,,102132.23195,762870.94875,0.54247,99924.05025,46.80054,0.25,3.0,4.0
14,base_oem,results_base_oem_s_stability_limit_0.25_price_fuel_3.0_blackout_duration_6.0,188273.8839,59.109,188273.8839,,,,143.91437,384.30336,6.58077,0,0.95616,25009.2049,,,19023.29749,72577.77547,630.39595,0.0,0,2208.1817,189.81987,7502.76147,,,142093.44818,542115.60224,4708.70699,0.0,0.0,16493.88872,1417.84878,56041.45383,,,102132.23195,762870.94875,0.54247,99924.05025,43.42143,0.25,3.0,6.0
15,base_oem,results_base_oem_s_stability_limit_0.25_price_fuel_4.0_blackout_duration_2.0,188273.8839,59.109,188273.8839,,,,151.26577,398.25299,5.87994,0,0.9744,14603.34373,,,19995.04155,75212.23843,563.26088,0.0,0,2208.1817,110.83976,5841.33749,,,149351.8356,561793.57483,4207.2454,0.0,0.0,16493.88872,827.91132,43631.54107,,,103930.89981,776305.99695,0.55202,101722.71811,40.92963,0.25,4.0,2.0
16,base_oem,results_base_oem_s_stability_limit_0.25_price_fuel_4.0_blackout_duration_4.0,188273.8839,59.109,188273.8839,,,,151.26577,398.25299,5.87994,0,0.9744,14603.34373,,,19995.04155,75212.23843,563.26088,0.0,0,2208.1817,110.83976,5841.33749,,,149351.8356,561793.57483,4207.2454,0.0,0.0,16493.88872,827.91132,43631.54107,,,103930.89981,776305.99695,0.55202,101722.71811,41.24375,0.25,4.0,4.0
17,base_oem,results_base_oem_s_stability_limit_0.25_price_fuel_4.0_blackout_duration_6.0,188273.8839,59.109,188273.8839,,,,151.26577,398.25299,5.87994,0,0.9744,14603.34373,,,19995.04155,75212.23843,563.26088,0.0,0,2208.1817,110.83976,5841.33749,,,149351.8356,561793.57483,4207.2454,0.0,0.0,16493.88872,827.91132,43631.54107,,,103930.89981,776305.99695,0.55202,101722.71811,40.50908,0.25,4.0,6.0
18,base_oem,results_base_oem_s_stability_limit_0.5_price_fuel_2.0_blackout_duration_2.0,188273.8839,59.109,188273.8839,,,,68.97284,0.0,59.109,0,0.39369,345916.15643,,,9117.16384,0.0,5662.26778,0.0,0,2208.1817,2625.50363,69183.23129,,,68100.14135,0.0,42293.99,0.0,0.0,16493.88872,19611.05135,516760.24584,,,88796.34824,663259.31726,0.47163,86588.16654,45.19563,0.5,2.0,2.0
19,base_oem,results_base_oem_s_stability_limit_0.5_price_fuel_2.0_blackout_duration_4.0,188273.8839,59.109,188273.8839,,,,68.97284,0.0,59.109,0,0.39369,345916.15643,,,9117.16384,0.0,5662.26778,0.0,0,2208.1817,2625.50363,69183.23129,,,68100.14135,0.0,42293.99,0.0,0.0,16493.88872,19611.05135,516760.24584,,,88796.34824,663259.31726,0.47163,86588.16654,44.87099,0.5,2.0,4.0
20,base_oem,results_base_oem_s_stability_limit_0.5_price_fuel_2.0_blackout_duration_6.0,188273.8839,59.109,188273.8839,,,,68.97284,0.0,59.109,0,0.39369,345916.15643,,,9117.16384,0.0,5662.26778,0.0,0,2208.1817,2625.50363,69183.23129,,,68100.14135,0.0,42293.99,0.0,0.0,16493.88872,19611.05135,516760.24584,,,88796.34824,663259.31726,0.47163,86588.16654,45.28237,0.5,2.0,6.0
21,base_oem,results_base_oem_s_stability_limit_0.5_price_fuel_3.0_blackout_duration_2.0,188273.8839,59.109,188273.8839,,,,143.91437,384.30336,6.58077,0,0.95616,25009.2049,,,19023.29749,72577.77547,630.39595,0.0,0,2208.1817,189.81987,7502.76147,,,142093.44818,542115.60224,4708.70699,0.0,0.0,16493.88872,1417.84878,56041.45383,,,102132.23195,762870.94875,0.54247,99924.05025,44.31009,0.5,3.0,2.0
22,base_oem,results_base_oem_s_stability_limit_0.5_price_fuel_3.0_blackout_duration_4.0,188273.8839,59.109,188273.8839,,,,143.91437,384.30336,6.58077,0,0.95616,25009.2049,,,19023.29749,72577.77547,630.39595,0.0,0,2208.1817,189.81987,7502.76147,,,142093.44818,542115.60224,4708.70699,0.0,0.0,16493.88872,1417.84878,56041.45383,,,102132.23195,762870.94875,0.54247,99924.05025,45.17354,0.5,3.0,4.0
23,base_oem,results_base_oem_s_stability_limit_0.5_price_fuel_3.0_blackout_duration_6.0,188273.8839,59.109,188273.8839,,,,143.91437,384.30336,6.58077,0,0.95616,25009.2049,,,19023.29749,72577.77547,630.39595,0.0,0,2208.1817,189.81987,7502.76147,,,142093.44818,542115.60224,4708.70699,0.0,0.0,16493.88872,1417.84878,56041.45383,,,102132.23195,762870.94875,0.54247,99924.05025,49.47355,0.5,3.0,6.0
24,base_oem,results_base_oem_s_stability_limit_0.5_price_fuel_4.0_blackout_duration_2.0,188273.8839,59.109,188273.8839,,,,151.26577,398.25299,5.87994,0,0.9744,14603.34373,,,19995.04155,75212.23843,563.26088,0.0,0,2208.1817,110.83976,5841.33749,,,149351.8356,561793.57483,4207.2454,0.0,0.0,16493.88872,827.91132,43631.54107,,,103930.89981,776305.99695,0.55202,101722.71811,42.84889,0.5,4.0,2.0
25,base_oem,results_base_oem_s_stability_limit_0.5_price_fuel_4.0_blackout_duration_4.0,188273.8839,59.109,188273.8839,,,,151.26577,398.25299,5.87994,0,0.9744,14603.34373,,,19995.04155,75212.23843,563.26088,0.0,0,2208.1817,110.83976,5841.33749,,,149351.8356,561793.57483,4207.2454,0.0,0.0,16493.88872,827.91132,43631.54107,,,103930.89981,776305.99695,0.55202,101722.71811,45.58568,0.5,4.0,4.0
26,base_oem,results_base_oem_s_stability_limit_0.5_price_fuel_4.0_blackout_duration_6.0,188273.8839,59.109,188273.8839,,,,151.26577,398.25299,5.87994,0,0.9744,14603.34373,,,19995.04155,75212.23843,563.26088,0.0,0,2208.1817,110.83976,5841.33749,,,149351.8356,561793.57483,4207.2454,0.0,0.0,16493.88872,827.91132,43631.54107,,,103930.89981,776305.99695,0.55202,101722.71811,45.43287,0.5,4.0,6.0
27,base_oem,results_base_oem_s_stability_limit_0.75_price_fuel_2.0_blackout_duration_2.0,188273.8839,59.109,188273.8839,,,,68.97284,0.0,59.109,0,0.39369,345916.15643,,,9117.16384,0.0,5662.26778,0.0,0,2208.1817,2625.50363,69183.23129,,,68100.14135,0.0,42293.99,0.0,0.0,16493.88872,19611.05135,516760.24584,,,88796.34824,663259.31726,0.47163,86588.16654,51.16645,0.75,2.0,2.0
28,base_oem,results_base_oem_s_stability_limit_0.75_price_fuel_2.0_blackout_duration_4.0,188273.8839,59.109,188273.8839,,,,68.97284,0.0,59.109,0,0.39369,345916.15643,,,9117.16384,0.0,5662.26778,0.0,0,2208.1817,2625.50363,69183.23129,,,68100.14135,0.0,42293.99,0.0,0.0,16493.88872,19611.05135,516760.24584,,,88796.34824,663259.31726,0.47163,86588.16654,51.9668,0.75,2.0,4.0
29,base_oem,results_base_oem_s_stability_limit_0.75_price_fuel_2.0_blackout_duration_6.0,188273.8839,59.109,188273.8839,,,,68.97284,0.0,59.109,0,0.39369,345916.15643,,,9117.16384,0.0,5662.26778,0.0,0,2208.1817,2625.50363,69183.23129,,,68100.14135,0.0,42293.99,0.0,0.0,16493.88872,19611.05135,516760.24584,,,88796.34824,663259.31726,0.47163,86588.16654,50.72765,0.75,2.0,6.0
30,base_oem,results_base_oem_s_stability_limit_0.75_price_fuel_3.0_blackout_duration_2.0,188273.8839,59.109,188273.8839,,,,144.07144,384.86504,8.5257,0,0.95673,24689.51024,,,19044.05994,72683.85254,816.70795,0.0,0,2208.1817,187.39263,7406.85307,,,142248.53206,542907.93895,6100.35399,0.0,0.0,16493.88872,1399.71867,55325.07146,,,102347.04783,764475.50386,0.54361,100138.86613,52.00176,0.75,3.0,2.0
31,base_oem,results_base_oem_s_stability_limit_0.75_price_fuel_3.0_blackout_duration_4.0,188273.8839,59.109,188273.8839,,,,144.07144,384.86504,8.5257,0,0.95673,24689.51024,,,19044.05994,72683.85254,816.70795,0.0,0,2208.1817,187.39263,7406.85307,,,142248.53206,542907.93895,6100.35399,0.0,0.0,16493.88872,1399.71867,55325.07146,,,102347.04783,764475.50386,0.54361,100138.86613,53.80153,0.75,3.0,4.0
32,base_oem,results_base_oem_s_stability_limit_0.75_price_fuel_3.0_blackout_duration_6.0,188273.8839,59.109,188273.8839,,,,144.07144,384.86504,8.5257,0,0.95673,24689.51024,,,19044.05994,72683.85254,816.70795,0.0,0,2208.1817,187.39263,7406.85307,,,142248.53206,542907.93895,6100.35399,0.0,0.0,16493.88872,1399.71867,55325.07146,,,102347.04783,764475.50386,0.54361,100138.86613,46.25199,0.75,3.0,6.0
33,base_oem,results_base_oem_s_stability_limit_0.75_price_fuel_4.0_blackout_duration_2.0,188273.8839,59.109,188273.8839,,,,151.36695,398.65912,7.65401,0,0.97468,14448.03729,,,20008.41606,75288.93791,733.20579,0.0,0,2208.1817,109.66136,5779.21491,,,149451.73579,562366.47725,5476.63931,0.0,0.0,16493.88872,819.10934,43167.52,,,104127.61774,777775.37041,0.55306,101919.43604,42.93268,0.75,4.0,2.0
34,base_oem,results_base_oem_s_stability_limit_0.75_price_fuel_4.0_blackout_duration_4.0,188273.8839,59.109,188273.8839,,,,151.36695,398.65912,7.65401,0,0.97468,14448.03729,,,20008.41606,75288.93791,733.20579,0.0,0,2208.1817,109.66136,5779.21491,,,149451.73579,562366.47725,5476.63931,0.0,0.0,16493.88872,819.10934,43167.52,,,104127.61774,777775.37041,0.55306,101919.43604,42.77837,0.75,4.0,4.0
35,base_oem,results_base_oem_s_stability_limit_0.75_price_fuel_4.0_blackout_duration_6.0,188273.8839,59.109,188273.8839,,,,151.36695,398.65912,7.65401,0,0.97468,14448.03729,,,20008.41606,75288.93791,733.20579,0.0,0,2208.1817,109.66136,5779.21491,,,149451.73579,562366.47725,5476.63931,0.0,0.0,16493.88872,819.10934,43167.52,,,104127.61774,777775.37041,0.55306,101919.43604,56.99655,0.75,4.0,6.0
36,base_oem,results_base_oem_s_stability_limit_1.0_price_fuel_2.0_blackout_duration_2.0,188273.8839,59.109,188273.8839,,,,68.97284,0.0,59.109,0,0.39369,345916.15643,,,9117.16384,0.0,5662.26778,0.0,0,2208.1817,2625.50363,69183.23129,,,68100.14135,0.0,42293.99,0.0,0.0,16493.88872,19611.05135,516760.24584,,,88796.34824,663259.31726,0.47163,86588.16654,47.69001,1.0,2.0,2.0
37,base_oem,results_base_oem_s_stability_limit_1.0_price_fuel_2.0_blackout_duration_4.0,188273.8839,59.109,188273.8839,,,,68.97284,0.0,59.109,0,0.39369,345916.15643,,,9117.16384,0.0,5662.26778,0.0,0,2208.1817,2625.50363,69183.23129,,,68100.14135,0.0,42293.99,0.0,0.0,16493.88872,19611.05135,516760.24584,,,88796.34824,663259.31726,0.47163,86588.16654,49.91154,1.0,2.0,4.0
38,base_oem,results_base_oem_s_stability_limit_1.0_price_fuel_2.0_blackout_duration_6.0,188273.8839,59.109,188273.8839,,,,68.97284,0.0,59.109,0,0.39369,345916.15643,,,9117.16384,0.0,5662.26778,0.0,0,2208.1817,2625.50363,69183.23129,,,68100.14135,0.0,42293.99,0.0,0.0,16493.88872,19611.05135,516760.24584,,,88796.34824,663259.31726,0.47163,86588.16654,46.97595,1.0,2.0,6.0
39,base_oem,results_base_oem_s_stability_limit_1.0_price_fuel_3.0_blackout_duration_2.0,188273.8839,59.109,188273.8839,,,,143.26804,385.65614,20.07272,0,0.95706,24496.44697,,,18937.8631,72833.25607,1922.83952,0.0,0,2208.1817,185.92917,7348.93409,,,141455.30083,544023.90018,14362.54143,0.0,0.0,16493.88872,1388.78742,54892.44888,,,103437.00365,772616.86747,0.5494,101228.82195,43.37901,1.0,3.0,2.0
40,base_oem,results_base_oem_s_stability_limit_1.0_price_fuel_3.0_blackout_duration_4.0,188273.8839,59.109,188273.8839,,,,143.26804,385.65614,20.07272,0,0.95706,24496.44697,,,18937.8631,72833.25607,1922.83952,0.0,0,2208.1817,185.92917,7348.93409,,,141455.30083,544023.90018,14362.54143,0.0,0.0,16493.88872,1388.78742,54892.44888,,,103437.00365,772616.86747,0.5494,101228.82195,43.12125,1.0,3.0,4.0
41,base_oem,results_base_oem_s_stability_limit_1.0_price_fuel_3.0_blackout_duration_6.0,188273.8839,59.109,188273.8839,,,,143.26804,385.65614,20.07272,0,0.95706,24496.44697,,,18937.8631,72833.25607,1922.83952,0.0,0,2208.1817,185.92917,7348.93409,,,141455.30083,544023.90018,14362.54143,0.0,0.0,16493.88872,1388.78742,54892.44888,,,103437.00365,772616.86747,0.5494,101228.82195,43.57076,1.0,3.0,6.0
42,base_oem,results_base_oem_s_stability_limit_1.0_price_fuel_4.0_blackout_duration_2.0,188273.8839,59.109,188273.8839,,,,149.39261,399.13747,19.42268,0,0.97401,14828.34299,,,19747.43785,75379.2769,1860.56981,0.0,0,2208.1817,112.54599,5931.3372,,,147502.37374,563041.25927,13897.42131,0.0,0.0,16493.88872,840.65594,44303.78881,,,105239.34945,786079.38778,0.55897,103031.16775,42.64136,1.0,4.0,2.0
43,base_oem,results_base_oem_s_stability_limit_1.0_price_fuel_4.0_blackout_duration_4.0,188273.8839,59.109,188273.8839,,,,149.39261,399.13747,19.42268,0,0.97401,14828.34299,,,19747.43785,75379.2769,1860.56981,0.0,0,2208.1817,112.54599,5931.3372,,,147502.37374,563041.25927,13897.42131,0.0,0.0,16493.88872,840.65594,44303.78881,,,105239.34945,786079.38778,0.55897,103031.16775,47.67469,1.0,4.0,4.0
44,base_oem,results_base_oem_s_stability_limit_1.0_price_fuel_4.0_blackout_duration_6.0,188273.8839,59.109,188273.8839,,,,149.39261,399.13747,19.42268,0,0.97401,14828.34299,,,19747.43785,75379.2769,1860.56981,0.0,0,2208.1817,112.54599,5931.3372,,,147502.37374,563041.25927,13897.42131,0.0,0.0,16493.88872,840.65594,44303.78881,,,105239.34945,786079.38778,0.55897,103031.16775,44.10952,1.0,4.0,6.0
