,case,filename,total_demand_annual_kWh,demand_peak_kW,total_demand_supplied_annual_kWh,total_demand_shortage_annual_kWh,capacity_pv_kWp,capacity_wind_kW,capacity_storage_kWh,capacity_genset_kW,capacity_pcoupling_kW,consumption_fuel_annual_l,consumption_main_grid_mg_side_annual_kWh,feedin_main_grid_mg_side_annual_kWh,expenditures_fuel_annual,expenditures_main_grid_consumption_annual,expenditures_shortage_annual,revenue_main_grid_feedin_annual,res_share,autonomy_factor,supply_reliability_kWh,annuity,npv,lcoe,objective_value,simulation_time,evaluation_time,comments,project_site_name,stability_limit
14,base_oem,results_base_oem_s_Masbate_stability_limit_0.4,111141569.24769,21840.0,105584490.78018,5557078.46751,22603.21511,57693.19214,6243.4733,8133.8751,0,45176921.70797,0,0,4569029.58183,,555707.84675,,0.9256,1.0,0.95,13795901.9656,125936521.13919,0.13066,13795901.9656,37.87658,72.64642,,Masbate,0.4
15,base_oem,results_base_oem_s_Masbate_stability_limit_0.5,111141569.24769,21840.0,105584490.78519,5557078.4625,22383.6799,57919.38865,5174.1271,10892.151,0,45568115.62114,0,0,4608593.51168,,555707.84625,,0.92512,1.0,0.95,13922486.68198,127092055.50371,0.13186,13922486.68198,37.14999,71.23012,,Masbate,0.5
16,base_oem,results_base_oem_s_Masbate_stability_limit_0.6,111141569.24769,21840.0,105584490.78859,5557078.4591,22304.82458,58202.09934,4178.3836,13268.743,0,45771982.73369,0,0,4629211.89011,,555707.84591,,0.92506,1.0,0.95,14031351.50156,128085832.98096,0.13289,14031351.50156,36.90617,69.77257,,Masbate,0.6
17,base_oem,results_base_oem_s_Masbate_stability_limit_0.7,111141569.24769,21840.0,105584490.7857,5557078.46198,22222.6274,58432.38755,3638.4308,15151.222,0,45851292.6867,0,0,4637233.01036,,555707.8462,,0.92513,1.0,0.95,14126031.56757,128950124.28751,0.13379,14126031.56757,35.31777,67.96713,,Masbate,0.7
18,base_oem,results_base_oem_s_Masbate_stability_limit_0.8,111141569.24769,21840.0,105584490.78204,5557078.46565,22085.72983,58543.30131,3368.979,16704.369,0,45984837.73164,0,0,4650739.27059,,555707.84656,,0.92497,1.0,0.95,14209660.93899,129713538.82383,0.13458,14209660.93899,37.20726,70.71269,,Masbate,0.8
19,base_oem,results_base_oem_s_Masbate_stability_limit_0.9,111141569.24769,21840.0,105584490.78428,5557078.46341,21881.61332,58604.92031,2966.8741,18149.904,0,46291437.33892,0,0,4681747.63996,,555707.84634,,0.92447,1.0,0.95,14284018.59975,130392316.1259,0.13529,14284018.59975,36.55073,70.12017,,Masbate,0.9
20,base_oem,results_base_oem_s_Masbate_stability_limit_1.0,111141569.24769,21840.0,105584490.7905,5557078.45719,22105.37516,58587.66485,3407.8492,19113.721,0,45913424.00536,0,0,4643516.746,,555707.84572,,0.92513,1.0,0.95,14352343.5284,131016023.35744,0.13593,14352343.5284,32.62734,65.46201,,Masbate,1.0
21,base_oem,results_base_oem_s_Atulayan_stability_limit_-1.0,13878.7514,8.53242,13184.81383,693.93757,0.0,10.543,5.75161,3.99524,0,16034.32841,0,0,1621.65367,,69.39376,,0.85373,1.0,0.95,3382.5381,30877.65356,0.25655,3382.5381,28.41255,65.43845,,Atulayan,-1.0
22,base_oem,results_base_oem_s_Atulayan_stability_limit_-0.9,13878.7514,8.53242,13184.81383,693.93757,0.0,10.543,5.75161,3.99524,0,16034.32841,0,0,1621.65367,,69.39376,,0.85373,1.0,0.95,3382.5381,30877.65356,0.25655,3382.5381,27.16092,60.36759,,Atulayan,-0.9
23,base_oem,results_base_oem_s_Atulayan_stability_limit_-0.8,13878.7514,8.53242,13184.81383,693.93757,0.0,10.543,5.75161,3.99524,0,16034.32841,0,0,1621.65367,,69.39376,,0.85373,1.0,0.95,3382.5381,30877.65356,0.25655,3382.5381,25.84264,59.02883,,Atulayan,-0.8
