hour,Demand DC,Demand AC,SolarGen,Wind,GridAvailability
0,0,75,0,0.847,1
1,0,80.5,0,0.794,1
2,0,91.5,0,0.752,1
3,0,81,0,0.718,1
4,0,81,0,0.689,1
5,0,78,0,0.664,1
6,0,84,0.004,0.649,1
7,28,0,0.049,0.627,0
8,0,123,0.103,0.628,1
9,34.5,0,0.153,0.651,0
10,0,125,0.203,0.71,1
11,0,120.5,0.267,0.805,1
12,0,129,0.303,0.891,1
13,0,160,0.305,0.941,1
14,169,0,0.278,0.966,0
15,293,0,0.212,0.972,0
16,0,395,0.088,0.972,1
17,27,0,0.002,0.97,0
18,0,99,0,0.971,1
19,0,607.5,0,0.971,1
20,49,0,0,0.977,0
21,31,0,0,0.982,0
22,0,111,0,0.983,1
23,0,105,0,0.984,1
24,23.5,0,0,0.983,0
25,0,81,0,0.98,1
26,0,81,0,0.975,1
27,0,84,0,0.968,1
28,20,0,0,0.961,0
29,22,0,0,0.948,0
30,0,355,0.017,0.934,1
31,0,358,0.166,0.933,1
32,0,104,0.347,0.948,1
33,0,103,0.492,0.962,1
34,38,0,0.564,0.968,0
35,32,0,0.58,0.973,0
36,33,0,0.538,0.972,0
37,0,128.5,0.47,0.965,1
38,0,162.5,0.373,0.954,1
39,0,196,0.258,0.943,1
40,0,173,0.101,0.924,1
41,0,184.5,0.002,0.889,1
42,0,185,0,0.847,1
43,144,0,0,0.82,0
44,0,198.5,0,0.807,1
45,0,342.5,0,0.803,1
46,0,126,0,0.797,1
47,0,117,0,0.8,1
48,0,100.5,0,0.82,1
49,0,86,0,0.827,1
50,0,80,0,0.832,1
51,22,0,0,0.835,0
52,0,75,0,0.836,1
53,0,84,0,0.822,1
54,0,84,0.031,0.797,1
55,0,98,0.228,0.783,1
56,0,112,0.432,0.83,1
57,0,121.5,0.561,0.856,1
58,0,131.5,0.578,0.849,1
59,0,114,0.605,0.84,1
60,0,93,0.567,0.829,1
61,0,92,0.486,0.817,1
62,0,152,0.396,0.808,1
63,0,408,0.273,0.801,1
64,0,428,0.122,0.783,1
65,75.5,0,0.004,0.75,0
66,0,168,0,0.724,1
67,0,559,0,0.713,1
68,0,194,0,0.705,1
69,0,134,0,0.697,1
70,0,114,0,0.674,1
71,0,99,0,0.64,1
72,0,87,0,0.605,1
73,0,103,0,0.575,1
74,0,88.5,0,0.554,1
75,21,0,0,0.533,0
76,0,75,0,0.515,1
77,0,78,0,0.459,1
78,0,81,0.042,0.413,1
79,0,98,0.263,0.391,1
80,28,0,0.466,0.49,0
81,31,0,0.604,0.541,0
82,0,105,0.66,0.521,1
83,0,142,0.676,0.492,1
84,0,161,0.648,0.465,1
85,0,126,0.595,0.443,1
86,0,660,0.511,0.428,1
87,0,411,0.32,0.41,1
88,0,136,0.152,0.38,1
89,0,139,0.006,0.35,1
90,0,182,0,0.341,1
91,229,0,0,0.315,0
92,0,240.5,0,0.294,1
93,0,139.5,0,0.271,1
94,0,93,0,0.264,1
95,0,96,0,0.26,1
96,0,75,0,0.26,1
97,0,83,0,0.263,1
98,0,81,0,0.265,1
99,0,78,0,0.271,1
100,0,81,0,0.275,1
101,0,81,0,0.268,1
102,0,96,0.049,0.262,1
103,0,100.5,0.276,0.256,1
104,0,127,0.469,0.335,1
105,0,137,0.6,0.395,1
106,0,140,0.632,0.409,1
107,0,108,0.625,0.425,1
108,0,139,0.65,0.451,1
109,0,172,0.599,0.482,1
110,0,669.5,0.488,0.513,1
111,0,390.5,0.306,0.52,1
112,0,141.5,0.144,0.475,1
113,0,144.5,0.005,0.389,1
114,0,153,0,0.342,1
115,0,381,0,0.318,1
116,0,379,0,0.284,1
117,133.5,0,0,0.257,0
118,24,0,0,0.243,0
119,0,105,0,0.288,1
120,0,90,0,0.307,1
121,24,0,0,0.307,0
122,0,81,0,0.298,1
123,0,75,0,0.315,1
124,0,81,0,0.302,1
125,0,78,0,0.291,1
126,0,84,0.038,0.274,1
127,0,340,0.232,0.235,1
128,129,0,0.428,0.249,0
129,0,87,0.579,0.267,1
130,0,90,0.679,0.256,1
131,0,107,0.722,0.253,1
132,0,124.5,0.727,0.262,1
133,0,143.5,0.656,0.285,1
134,0,171,0.534,0.326,1
135,28,0,0.352,0.367,0
136,0,247,0.127,0.386,1
137,0,157,0.004,0.403,1
138,0,165.5,0,0.408,1
139,247,0,0,0.404,0
140,0,428,0,0.391,1
141,0,136.5,0,0.382,1
142,0,102,0,0.374,1
143,38,0,0,0.377,0
144,21.5,0,0,0.397,0
145,0,80,0,0.399,1
146,0,83.5,0,0.404,1
147,0,81,0,0.404,1
148,0,75,0,0.395,1
149,0,78,0,0.393,1
150,0,81,0.044,0.391,1
151,0,96,0.262,0.379,1
152,0,111,0.479,0.419,1
153,0,120,0.622,0.461,1
154,0,123,0.705,0.511,1
155,0,101.5,0.727,0.57,1
156,0,94,0.714,0.616,1
157,0,75,0.657,0.638,1
158,26,0,0.572,0.652,0
159,32.5,0,0.415,0.654,0
160,0,353.5,0.198,0.639,1
161,0,180.5,0.008,0.584,1
162,0,146,0,0.527,1
163,0,541.5,0,0.507,1
164,0,160,0,0.494,1
165,234.5,0,0,0.498,0
166,0,105,0,0.493,1
167,0,108,0,0.498,1
