Demand;SolarGen;Wind
13.77206;0.0;0.023
13.73326;0.0;0.040999999999999995
15.8456;0.0;0.065
14.61666;0.0;0.08700000000000001
23.90236;0.0;0.099
34.00853;0.0;0.106
53.65951;0.11199999999999999;0.102
40.90555;0.32299999999999995;0.042
41.1675;0.49700000000000005;0.023
54.20016999999999;0.63;0.018000000000000002
50.38945;0.6930000000000001;0.011000000000000001
54.87046;0.7070000000000001;0.006999999999999999
65.81024000000001;0.67;0.004
62.53975;0.5870000000000001;0.003
60.892;0.45299999999999996;0.003
52.05723;0.271;0.005
70.22155;0.073;0.012
91.24875;0.0;0.031
117.96695;0.0;0.032
151.3429;0.0;0.021
117.80376;0.0;0.017
62.17844;0.0;0.023
33.56487;0.0;0.037000000000000005
13.44644;0.0;0.064
13.88726;0.0;0.109
14.26071;0.0;0.16699999999999998
11.99045;0.0;0.214
15.13494;0.0;0.251
21.09671;0.0;0.28400000000000003
29.78338;0.0;0.32
41.37724;0.092;0.307
36.14641;0.28200000000000003;0.276
38.52387;0.45399999999999996;0.14800000000000002
53.38117;0.542;0.057999999999999996
49.16612;0.614;0.032
53.40552;0.645;0.023
56.11376;0.645;0.016
43.84546;0.5680000000000001;0.009000000000000001
46.91608;0.44;0.008
49.11199000000001;0.268;0.013
51.30081;0.076;0.033
93.44322;0.0;0.1
116.29012;0.0;0.19399999999999998
143.82804;0.0;0.28400000000000003
122.7501;0.0;0.34
59.96854;0.0;0.364
30.42884;0.0;0.36
15.70879;0.0;0.34900000000000003
13.903720000000002;0.0;0.35100000000000003
12.88805;0.0;0.371
15.3279;0.0;0.39799999999999996
13.2113;0.0;0.43700000000000006
23.80837;0.0;0.475
31.12623;0.0;0.496
43.27955;0.113;0.467
41.01681;0.317;0.483
33.50782;0.488;0.37
52.24343;0.625;0.214
59.32966999999999;0.6960000000000001;0.134
45.67967;0.71;0.106
53.51712;0.672;0.08700000000000001
53.52831;0.594;0.073
58.59393000000001;0.466;0.076
58.69515;0.289;0.08700000000000001
68.74183000000001;0.085;0.102
72.23808000000002;0.0;0.18
112.49464;0.0;0.305
131.71035;0.0;0.379
113.09998;0.0;0.411
64.28528;0.0;0.42200000000000004
33.332640000000005;0.0;0.43700000000000006
15.83611;0.0;0.472
12.08025;0.0;0.507
13.99938;0.0;0.541
12.8825;0.0;0.5670000000000001
17.90159;0.0;0.5589999999999999
19.85289;0.0;0.55
39.53253;0.0;0.555
50.70126;0.104;0.5579999999999999
44.46057;0.29100000000000004;0.629
50.89137;0.46799999999999997;0.494
45.33296;0.624;0.289
52.69532;0.6940000000000001;0.146
62.6287;0.705;0.062
53.89704;0.662;0.024
57.80228;0.5429999999999999;0.013
53.75224;0.426;0.013999999999999999
51.91527;0.267;0.023
81.44098000000002;0.08;0.042
107.38422;0.0;0.105
128.61423;0.0;0.188
162.50036;0.0;0.254
110.94673;0.0;0.29600000000000004
61.19719;0.0;0.332
36.30716;0.0;0.36200000000000004
17.57017;0.0;0.385
13.68746;0.0;0.40399999999999997
11.48532;0.0;0.429
14.6233;0.0;0.439
14.73703;0.0;0.431
26.09701;0.0;0.425
30.89662;0.0;0.426
36.31714;0.114;0.381
37.65068;0.326;0.332
36.97568;0.501;0.245
50.71215;0.627;0.138
57.84578000000001;0.6940000000000001;0.1
48.53492;0.71;0.078
45.01957;0.6679999999999999;0.063
46.69043;0.591;0.049
53.12961;0.461;0.040999999999999995
52.19854;0.28;0.038
66.47861;0.079;0.044000000000000004
81.94494;0.0;0.077
110.42353;0.0;0.09300000000000001
128.51799;0.0;0.098
104.30993;0.0;0.115
56.41884;0.0;0.128
26.28677;0.0;0.15
13.14802;0.0;0.217
16.64323;0.0;0.29
16.462;0.0;0.34700000000000003
16.0809;0.0;0.392
20.78732;0.0;0.445
29.2292;0.0;0.484
43.90052;0.0;0.505
55.94807;0.113;0.475
47.41707;0.327;0.526
57.56557;0.502;0.359
62.4763;0.644;0.156
59.69579;0.706;0.07100000000000001
63.90443000000001;0.7190000000000001;0.044000000000000004
70.07665;0.682;0.039
55.134130000000006;0.602;0.042
60.08433;0.472;0.053
79.25277;0.292;0.07100000000000001
80.80058000000002;0.085;0.096
103.22684;0.0;0.17
174.24774;0.0;0.26899999999999996
196.41257;0.0;0.327
128.49878;0.0;0.36200000000000004
61.79709;0.0;0.35000000000000003
40.43849;0.0;0.331
18.13919;0.0;0.32299999999999995
16.231070000000006;0.0;0.326
11.84823;0.0;0.326
12.29927;0.0;0.32899999999999996
18.44759;0.0;0.353
25.06738;0.0;0.382
32.391420000000004;0.0;0.402
35.41757;0.139;0.374
32.393809999999995;0.35700000000000004;0.379
35.08804;0.529;0.23199999999999998
48.45729;0.644;0.119
52.07423;0.706;0.081
55.42724000000001;0.721;0.08600000000000001
54.24559;0.6829999999999999;0.1
53.28249;0.606;0.115
46.14608;0.478;0.128
57.385;0.292;0.139
69.0954;0.08600000000000001;0.156
86.44218000000002;0.0;0.22399999999999998
110.58659;0.0;0.318
132.46917;0.0;0.327
90.7832;0.0;0.31
47.38477;0.0;0.314
32.87022;0.0;0.322
14.36051;0.0;0.34
15.81104;0.0;0.366
14.25959;0.0;0.397
15.61374;0.0;0.43
14.53413;0.0;0.457
27.83102;0.0;0.476
40.42414;0.0;0.489
52.06845;0.141;0.44799999999999995
42.53635;0.36200000000000004;0.51
52.29291;0.534;0.39
50.19156;0.654;0.21600000000000003
54.8022;0.7140000000000001;0.136
