,power,Wind,GridAvailability,SolarGen
0,26.5,0.847,1,0
1,28,0.794,1,0
2,24.5,0.752,1,0
3,22,0.718,1,0
4,20,0.689,1,0
5,20,0.664,1,0
6,137,0.649,1,0
7,29,0.627,0,0.105
8,233,0.628,1,0.355
9,138,0.651,0,0.546
10,34.5,0.71,1,0.665
11,38.5,0.805,1,0.722
12,44,0.891,1,0.723
13,39,0.941,1,0.669
14,47,0.966,0,0.555
15,47,0.972,0,0.366
16,37,0.972,1,0.135
17,44,0.97,0,0
18,63,0.971,1,0
19,69,0.971,1,0
20,69,0.977,0,0
21,38,0.982,0,0
22,33,0.983,1,0
23,26,0.984,1,0
24,22,0.983,0,0
25,25,0.98,1,0
26,23,0.975,1,0
27,20,0.968,1,0
28,22,0.961,0,0
29,24,0.948,0,0
30,30,0.934,1,0
31,29,0.933,1,0.113
32,227,0.948,1,0.373
33,150,0.962,1,0.566
34,261,0.968,0,0.689
35,27,0.973,0,0.748
36,48,0.972,0,0.733
37,62,0.965,1,0.683
38,57.5,0.954,1,0.573
39,40,0.943,1,0.395
40,46,0.924,1,0.156
41,68,0.889,1,0
42,61.5,0.847,1,0
43,60,0.82,0,0
44,66,0.807,1,0
45,34,0.803,1,0
46,33,0.797,1,0
47,30,0.8,1,0
48,23,0.82,1,0
49,22,0.827,1,0
50,26,0.832,1,0
51,23,0.835,0,0
52,21,0.836,1,0
53,20,0.822,1,0
54,22,0.797,1,0
55,31,0.783,1,0.097
56,38,0.83,1,0.349
57,38.5,0.856,1,0.53
58,34.5,0.849,1,0.665
59,26.5,0.84,1,0.731
60,26.5,0.829,1,0.74
61,28.5,0.817,1,0.685
62,40.5,0.808,1,0.563
63,163,0.801,1,0.33
64,166.5,0.783,1,0.11
65,46.5,0.75,0,0
66,71.5,0.724,1,0
67,73,0.713,1,0
68,177,0.705,1,0
69,138,0.697,1,0
70,35,0.674,1,0
71,33,0.64,1,0
72,21.5,0.605,1,0
73,24.5,0.575,1,0
74,24.5,0.554,1,0
75,21,0.533,0,0
76,22,0.515,1,0
77,24,0.459,1,0
78,32,0.413,1,0
79,30,0.391,1,0.066
80,265,0.49,0,0.28
81,149,0.541,0,0.485
82,31,0.521,1,0.62
83,31.5,0.492,1,0.687
84,25,0.465,1,0.678
85,23,0.443,1,0.627
86,13,0.428,1,0.512
87,37.5,0.41,1,0.311
88,56,0.38,1,0.105
89,60.5,0.35,1,0
90,69.5,0.341,1,0
91,173,0.315,0,0
92,70,0.294,1,0
93,141,0.271,1,0
94,33,0.264,1,0
95,31,0.26,1,0
96,24.5,0.26,1,0
97,20,0.263,1,0
98,21,0.265,1,0
99,22,0.271,1,0
100,22,0.275,1,0
101,23,0.268,1,0
102,26,0.262,1,0
103,262,0.256,1,0.073
104,137,0.335,1,0.296
105,34,0.395,1,0.461
106,35,0.409,1,0.587
107,33,0.425,1,0.616
108,29,0.451,1,0.6
109,56.5,0.482,1,0.552
110,62,0.513,1,0.44
111,60.5,0.52,1,0.308
112,74,0.475,1,0.101
113,72.5,0.389,1,0
114,54.5,0.342,1,0
115,37.5,0.318,1,0
116,159.5,0.284,1,0
117,133.5,0.257,0,0
118,27,0.243,0,0
119,31,0.288,1,0
120,26,0.307,1,0
121,29.5,0.307,0,0
122,26.5,0.298,1,0
123,21,0.315,1,0
124,21,0.302,1,0
125,22,0.291,1,0
126,26,0.274,1,0
127,26,0.235,1,0.072
128,29,0.249,0,0.299
129,266,0.267,1,0.506
130,264,0.256,1,0.639
131,41,0.253,1,0.701
132,52,0.262,1,0.683
133,51,0.285,1,0.628
134,63.5,0.326,1,0.509
135,68,0.367,0,0.306
136,47,0.386,1,0.1
137,43,0.403,1,0
138,61,0.408,1,0
139,57.5,0.404,0,0
140,153.5,0.391,1,0
141,134,0.382,1,0
142,33,0.374,1,0
143,32,0.377,0,0
144,22.5,0.397,0,0
145,27.5,0.399,1,0
146,26,0.404,1,0
147,21,0.404,1,0
148,20,0.395,1,0
149,22,0.393,1,0
150,257,0.391,1,0
151,265,0.379,1,0.099
152,37,0.419,1,0.352
153,36,0.461,1,0.56
154,39,0.511,1,0.694
155,32,0.57,1,0.76
156,50.5,0.616,1,0.748
157,62,0.638,1,0.697
158,42.5,0.652,0,0.581
159,38,0.654,0,0.398
160,39,0.639,1,0.153
161,36.5,0.584,1,0.001
162,58.5,0.527,1,0
163,59.5,0.507,1,0
164,56.5,0.494,1,0
165,125.5,0.498,0,0
166,30,0.493,1,0
167,25,0.498,1,0
0,29.5,0.847,1,0
1,27,0.794,1,0
2,24.5,0.752,1,0
3,20,0.718,0,0
4,21,0.689,1,0
5,23,0.664,1,0
6,28,0.649,1,0
7,33,0.627,1,0.1
8,29,0.628,1,0.35
9,28,0.651,1,0.544
10,27,0.71,1,0.671
11,38,0.805,0,0.732
12,54,0.891,0,0.709
13,178.5,0.941,1,0.654
14,296.5,0.966,1,0.532
15,61.5,0.972,1,0.305
16,65.5,0.972,0,0.098
17,68,0.97,1,0
18,49.5,0.971,1,0
19,26.5,0.971,1,0
20,43,0.977,1,0
21,228,0.982,1,0
22,33,0.983,1,0
23,30,0.984,0,0
24,28,0.983,0,0
25,24,0.98,1,0
26,22.5,0.975,1,0
27,22,0.968,1,0
28,20,0.961,1,0
29,21,0.948,0,0
30,28,0.934,1,0
31,32,0.933,0,0.076
32,31,0.948,1,0.301
33,129.5,0.962,0,0.509
34,32,0.968,0,0.641
35,39.5,0.973,1,0.706
36,51.5,0.972,1,0.698
37,56,0.965,1,0.645
38,72.5,0.954,1,0.527
39,190,0.943,1,0.342
40,186,0.924,0,0.119
41,64,0.889,1,0
42,44,0.847,1,0
43,50,0.82,0,0
44,41,0.807,1,0
45,32,0.803,1,0
46,28,0.797,1,0
47,27,0.8,0,0
48,26,0.82,1,0
49,27.5,0.827,1,0
50,30,0.832,0,0
51,22,0.835,1,0
52,20,0.836,1,0
53,22,0.822,1,0
54,25,0.797,1,0
55,30,0.783,0,0.081
56,37,0.83,1,0.298
57,266.5,0.856,1,0.47
58,151.5,0.849,1,0.551
59,40,0.84,1,0.564
60,29,0.829,0,0.577
61,20,0.817,0,0.52
62,20,0.808,1,0.368
63,24,0.801,0,0.212
64,52,0.783,1,0.088
65,71,0.75,1,0
66,65.5,0.724,1,0
67,140.5,0.713,1,0
68,161.5,0.705,1,0
69,132.5,0.697,0,0
70,31,0.674,1,0
71,14,0.64,1,0
72,27,0.605,1,0
73,26.5,0.575,1,0
74,23.5,0.554,1,0
75,24,0.533,0,0
76,21,0.515,1,0
77,20,0.459,1,0
78,25,0.413,1,0
79,34,0.391,1,0.093
80,38,0.49,1,0.279
81,266.5,0.541,0,0.383
82,151,0.521,0,0.3
83,38,0.492,1,0.241
84,43,0.465,0,0.269
85,36.5,0.443,1,0.52
86,50,0.428,1,0.199
87,62,0.41,1,0.074
88,52,0.38,1,0.027
89,43,0.35,1,0
90,68,0.341,1,0
91,174,0.315,0,0
92,59,0.294,0,0
93,33.5,0.271,0,0
94,29,0.264,1,0
95,30,0.26,1,0
96,20,0.26,0,0
97,23,0.263,0,0
98,21.5,0.265,1,0
99,22,0.271,1,0
100,22,0.275,1,0
101,20,0.268,0,0
102,27,0.262,1,0
103,29,0.256,1,0.119
104,130,0.335,1,0.356
105,34,0.395,1,0.561
106,39,0.409,0,0.691
107,44,0.425,1,0.758
108,62,0.451,1,0.765
109,41,0.482,0,0.715
110,22,0.513,0,0.603
111,272,0.52,1,0.412
112,160,0.475,1,0.168
113,34.5,0.389,1,0.002
114,35,0.342,0,0
115,40.5,0.318,0,0
116,58,0.284,1,0
117,33.5,0.257,1,0
118,28,0.243,1,0
119,32,0.288,0,0
120,27,0.307,1,0
121,25,0.307,1,0
122,25.5,0.298,0,0
123,20,0.315,1,0
124,23,0.302,0,0
125,23,0.291,1,0
126,20,0.274,1,0
127,23,0.235,1,0.116
128,27,0.249,0,0.351
129,257,0.267,0,0.55
130,146.5,0.256,0,0.677
131,40.5,0.253,0,0.741
132,66.5,0.262,0,0.731
133,71.5,0.285,1,0.68
134,61.5,0.326,1,0.568
135,40.5,0.367,0,0.351
136,33,0.386,1,0.128
137,35,0.403,1,0.001
138,55.5,0.408,1,0
139,165,0.404,1,0
140,157,0.391,1,0
141,33,0.382,0,0
142,33,0.374,1,0
143,32,0.377,1,0
144,24,0.397,1,0
145,25,0.399,0,0
146,22,0.404,1,0
147,23,0.404,1,0
148,22,0.395,1,0
149,20,0.393,1,0
150,27,0.391,1,0
151,27,0.379,0,0.097
152,127.5,0.419,1,0.317
153,34,0.461,1,0.498
154,34.5,0.511,0,0.626
155,266,0.57,1,0.692
156,277.5,0.616,1,0.726
157,54,0.638,1,0.674
158,59.5,0.652,1,0.564
159,42,0.654,0,0.383
160,53.5,0.639,1,0.15
161,53,0.584,1,0.002
162,55.5,0.527,1,0
163,254.5,0.507,1,0
164,78.5,0.494,0,0
165,42,0.498,1,0
166,28,0.493,1,0
167,26,0.498,0,0
0,25,0.847,1,0
1,25,0.794,1,0
2,23,0.752,1,0
3,21,0.718,1,0
4,20,0.689,1,0
5,22,0.664,1,0
6,28,0.649,1,0
7,29,0.627,1,0.122
8,28,0.628,1,0.359
9,28.5,0.651,0,0.556
10,31,0.71,0,0.678
11,155,0.805,1,0.739
12,274,0.891,1,0.735
13,148,0.941,1,0.681
14,53,0.966,0,0.567
15,53,0.972,1,0.364
16,60.5,0.972,1,0.139
17,65,0.97,1,0.001
18,66,0.971,1,0
19,54,0.971,1,0
20,238.5,0.977,1,0
21,38.5,0.982,1,0
22,19,0.983,1,0
23,31,0.984,1,0
24,20,0.983,1,0
25,23.5,0.98,1,0
26,26.5,0.975,1,0
27,20,0.968,1,0
28,20,0.961,1,0
29,21,0.948,0,0
30,20,0.934,1,0
31,27,0.933,1,0.128
32,127,0.948,1,0.381
33,28,0.962,1,0.574
34,29,0.968,0,0.696
35,30.5,0.973,1,0.757
36,30.5,0.972,1,0.736
37,149.5,0.965,1,0.683
38,268,0.954,1,0.57
39,44.5,0.943,1,0.39
40,67,0.924,1,0.155
41,71,0.889,1,0.002
42,56,0.847,1,0
43,37,0.82,0,0
44,46.5,0.807,0,0
45,136.5,0.803,1,0
46,36,0.797,1,0
47,32,0.8,1,0
48,21.5,0.82,1,0
49,28.5,0.827,0,0
50,30.5,0.832,1,0
51,23,0.835,1,0
52,20,0.836,1,0
53,20,0.822,1,0
54,24,0.797,1,0
55,28,0.783,1,0.136
56,32,0.83,1,0.387
57,32,0.856,1,0.581
58,30,0.849,0,0.701
59,31.5,0.84,0,0.758
60,53,0.829,1,0.754
61,157.5,0.817,1,0.7
62,27.5,0.808,0,0.586
63,44,0.801,1,0.402
64,74.5,0.783,1,0.165
65,74.5,0.75,1,0.003
66,57.5,0.724,1,0
67,76,0.713,1,0
68,74.5,0.705,1,0
69,133,0.697,0,0
70,31,0.674,1,0
71,31,0.64,1,0
72,24.5,0.605,1,0
73,23,0.575,1,0
74,22.5,0.554,1,0
75,23,0.533,0,0
76,21,0.515,0,0
77,20,0.459,0,0
78,27,0.413,1,0
79,30,0.391,1,0.126
80,234,0.49,1,0.367
81,36.5,0.541,0,0.554
82,151,0.521,1,0.672
83,264,0.492,1,0.733
84,184,0.465,1,0.734
85,70,0.443,0,0.676
86,66,0.428,1,0.563
87,35,0.41,1,0.39
88,52.5,0.38,1,0.155
89,54,0.35,1,0.001
90,54,0.341,1,0
91,56.5,0.315,0,0
92,160,0.294,1,0
93,37.5,0.271,1,0
94,34,0.264,1,0
95,31,0.26,1,0
96,27.5,0.26,0,0
97,21.5,0.263,1,0
98,22,0.265,1,0
99,22,0.271,1,0
100,24,0.275,1,0
101,23,0.268,0,0
102,27,0.262,1,0
103,29,0.256,0,0.104
104,132,0.335,1,0.339
105,38,0.395,1,0.575
106,39.5,0.409,1,0.697
107,153,0.425,1,0.757
108,273,0.451,1,0.766
109,153,0.482,0,0.717
110,40.5,0.513,1,0.607
111,32.5,0.52,1,0.437
112,57,0.475,0,0.196
113,62.5,0.389,1,0.005
114,66,0.342,0,0
115,58,0.318,1,0
116,156,0.284,0,0
117,133,0.257,1,0
118,27,0.243,1,0
119,28,0.288,1,0
120,22,0.307,1,0
121,22.5,0.307,1,0
122,23.5,0.298,0,0
123,21,0.315,1,0
124,20,0.302,1,0
125,23,0.291,1,0
126,20,0.274,1,0
127,24.5,0.235,0,0.155
128,231.5,0.249,1,0.412
129,33.5,0.267,1,0.604
130,264,0.256,1,0.724
131,37,0.253,0,0.783
132,28,0.262,1,0.782
133,35,0.285,0,0.732
134,54.5,0.326,1,0.624
135,64,0.367,1,0.443
136,68.5,0.386,0,0.201
137,36.5,0.403,1,0.005
138,51.5,0.408,1,0
139,168,0.404,1,0
140,72.5,0.391,0,0
141,43.5,0.382,1,0
142,31,0.374,1,0
143,31,0.377,1,0
144,22.5,0.397,1,0
145,25.5,0.399,0,0
146,27,0.404,1,0
147,24,0.404,1,0
148,20,0.395,1,0
149,20,0.393,1,0
150,143,0.391,1,0
151,31,0.379,1,0.108
152,33,0.419,1,0.386
153,33,0.461,1,0.545
154,34,0.511,0,0.622
155,36,0.57,0,0.663
156,46,0.616,0,0.731
157,47,0.638,1,0.674
158,54.5,0.652,1,0.521
159,55,0.654,0,0.343
160,60.5,0.639,1,0.154
161,62.5,0.584,1,0.003
162,71.5,0.527,1,0
163,49,0.507,1,0
164,260.5,0.494,0,0
165,132,0.498,1,0
166,28,0.493,1,0
167,31,0.498,1,0
0,21.5,0.847,1,0
1,23,0.794,0,0
2,24.5,0.752,1,0
3,24,0.718,1,0
4,22,0.689,0,0
5,21,0.664,1,0
6,258,0.649,1,0
7,266,0.627,1,0.112
8,34,0.628,0,0.32
9,132,0.651,1,0.48
10,38.5,0.71,1,0.619
11,34,0.805,1,0.661
12,42,0.891,0,0.63
13,41,0.941,1,0.592
14,41,0.966,1,0.539
15,40.5,0.972,0,0.368
16,34,0.972,1,0.149
17,47,0.97,1,0.003
18,69,0.971,1,0
19,167.5,0.971,1,0
20,49.5,0.977,1,0
21,31.5,0.982,0,0
22,31,0.983,1,0
23,29,0.984,1,0
24,23.5,0.983,0,0
25,23.5,0.98,1,0
26,23,0.975,1,0
27,20,0.968,1,0
28,22,0.961,0,0
29,24,0.948,1,0
30,137,0.934,1,0
31,24,0.933,1,0.077
32,129,0.948,1,0.28
33,130,0.962,0,0.5
34,38,0.968,1,0.654
35,40.5,0.973,0,0.725
36,32,0.972,0,0.726
37,35,0.965,1,0.674
38,42.5,0.954,0,0.563
39,67,0.943,0,0.388
40,51,0.924,1,0.164
41,46.5,0.889,1,0.004
42,62.5,0.847,1,0
43,67.5,0.82,0,0
44,65.5,0.807,1,0
45,32,0.803,1,0
46,30,0.797,1,0
47,27,0.8,1,0
48,22,0.82,0,0
49,22,0.827,1,0
50,24,0.832,0,0
51,21,0.835,1,0
52,22,0.836,1,0
53,20,0.822,0,0
54,21,0.797,0,0
55,27,0.783,1,0.054
56,130.5,0.83,1,0.172
57,28.5,0.856,1,0.317
58,29.5,0.849,1,0.477
59,38.5,0.84,1,0.57
60,58,0.829,0,0.577
61,162.5,0.817,1,0.533
62,44,0.808,1,0.494
63,56.5,0.801,1,0.373
64,64,0.783,1,0.169
65,60,0.75,1,0.005
66,63,0.724,1,0
67,40,0.713,1,0
68,59.5,0.705,1,0
69,139.5,0.697,1,0
70,33,0.674,1,0
71,35,0.64,1,0
72,24,0.605,0,0
73,25,0.575,1,0
74,22.5,0.554,1,0
75,22,0.533,1,0
76,21,0.515,1,0
77,21,0.459,0,0
78,26,0.413,1,0
79,36.5,0.391,1,0.095
80,139,0.49,1,0.355
81,34.5,0.541,1,0.593
82,29.5,0.521,0,0.716
83,142.5,0.492,1,0.767
84,138.5,0.465,0,0.75
85,39,0.443,1,0.711
86,33.5,0.428,1,0.612
87,34.5,0.41,0,0.442
88,49,0.38,1,0.206
89,57,0.35,1,0.008
90,32.5,0.341,1,0
91,53.5,0.315,1,0
92,68.5,0.294,1,0
93,40,0.271,0,0
94,27,0.264,0,0
95,27,0.26,1,0
96,23,0.26,1,0
97,22,0.263,0,0
98,22,0.265,1,0
99,22,0.271,1,0
100,23,0.275,1,0
101,21,0.268,0,0
102,26,0.262,1,0
103,30.5,0.256,1,0.182
104,30,0.335,1,0.434
105,152.5,0.395,1,0.622
106,39.5,0.409,1,0.738
107,43,0.425,1,0.792
108,25,0.451,1,0.777
109,50,0.482,1,0.726
110,54,0.513,0,0.616
111,50.5,0.52,1,0.426
112,45.5,0.475,1,0.191
113,57,0.389,1,0.007
114,74.5,0.342,1,0
115,72.5,0.318,0,0
116,50,0.284,1,0
117,129.5,0.257,1,0
118,29,0.243,1,0
119,31,0.288,1,0
120,26,0.307,1,0
121,22.5,0.307,0,0
122,23,0.298,0,0
123,22,0.315,0,0
124,23,0.302,1,0
125,20,0.291,1,0
126,23,0.274,1,0
127,25.5,0.235,0,0.192
128,31,0.249,1,0.448
129,35.5,0.267,0,0.636
130,40,0.256,1,0.752
131,34.5,0.253,1,0.807
132,41.5,0.262,0,0.787
133,169.5,0.285,1,0.736
134,291.5,0.326,1,0.627
135,178,0.367,1,0.447
136,59,0.386,1,0.205
137,35.5,0.403,1,0.008
138,50.5,0.408,1,0
139,163,0.404,1,0
140,63.5,0.391,1,0
141,136,0.382,0,0
142,36,0.374,1,0
143,35,0.377,1,0
144,25.5,0.397,1,0
145,26,0.399,1,0
146,24.5,0.404,1,0
147,21,0.404,0,0
148,20,0.395,1,0
149,24,0.393,0,0
150,24,0.391,0,0
151,25,0.379,1,0.141
152,24,0.419,0,0.417
153,31,0.461,1,0.594
154,34,0.511,1,0.698
155,29.5,0.57,0,0.756
156,27,0.616,1,0.779
157,21.5,0.638,0,0.731
158,154,0.652,1,0.616
159,300,0.654,1,0.416
160,191,0.639,1,0.174
161,63,0.584,0,0.006
162,28,0.527,1,0
163,138,0.507,1,0
164,149.5,0.494,1,0
165,136,0.498,1,0
166,37,0.493,1,0
167,33,0.498,1,0
0,23,0.847,1,0
1,26,0.794,0,0
2,24.5,0.752,1,0
3,20,0.718,1,0
4,20,0.689,1,0
5,20,0.664,1,0
6,27,0.649,0,0
7,29,0.627,0,0.105
8,136.5,0.628,1,0.232
9,133.5,0.651,1,0.462
10,31,0.71,1,0.694
11,269,0.805,1,0.763
12,288,0.891,0,0.739
13,50,0.941,0,0.688
14,36.5,0.966,1,0.574
15,52,0.972,1,0.381
16,58,0.972,0,0.156
17,53.5,0.97,1,0.005
18,71,0.971,1,0
19,71,0.971,1,0
20,65.5,0.977,0,0
21,135,0.982,1,0
22,28,0.983,1,0
23,30,0.984,1,0
24,28,0.983,1,0
25,27,0.98,1,0
26,22.5,0.975,1,0
27,20,0.968,1,0
28,24,0.961,1,0
29,23,0.948,1,0
30,255,0.934,0,0
31,27,0.933,1,0.128
32,132,0.948,0,0.364
33,130,0.962,1,0.524
34,33,0.968,0,0.645
35,44.5,0.973,1,0.706
36,51.5,0.972,1,0.714
37,45.5,0.965,1,0.663
38,40,0.954,0,0.551
39,26,0.943,1,0.367
40,58.5,0.924,1,0.15
41,67.5,0.889,1,0.006
42,55.5,0.847,1,0
43,47.5,0.82,1,0
44,71.5,0.807,1,0
45,34,0.803,0,0
46,30,0.797,0,0
47,29,0.8,1,0
48,23,0.82,0,0
49,21.5,0.827,0,0
50,23.5,0.832,1,0
51,22,0.835,1,0
52,22,0.836,1,0
53,21,0.822,0,0
54,23,0.797,1,0
55,25,0.783,1,0.163
56,32,0.83,1,0.411
57,141,0.856,1,0.599
58,37,0.849,0,0.716
59,35.5,0.84,1,0.772
60,50,0.829,1,0.761
61,47,0.817,1,0.71
62,47,0.808,1,0.599
63,281,0.801,1,0.398
64,169,0.783,1,0.17
65,57,0.75,0,0.008
66,75,0.724,1,0
67,79,0.713,0,0
68,57,0.705,0,0
69,132.5,0.697,1,0
70,34,0.674,1,0
71,28,0.64,1,0
72,30,0.605,1,0
73,23,0.575,1,0
74,25,0.554,1,0
75,22,0.533,0,0
76,20,0.515,1,0
77,22,0.459,1,0
78,20,0.413,1,0
79,26,0.391,1,0.228
80,36,0.49,1,0.475
81,263,0.541,1,0.659
82,33,0.521,1,0.769
83,37.5,0.492,1,0.823
84,42,0.465,1,0.808
85,49.5,0.443,1,0.759
86,57,0.428,1,0.651
87,54.5,0.41,0,0.477
88,64.5,0.38,0,0.234
89,75,0.35,1,0.015
90,57,0.341,1,0
91,160,0.315,1,0
92,46,0.294,0,0
93,235.5,0.271,0,0
94,36,0.264,0,0
95,32,0.26,1,0
96,21,0.26,1,0
97,26.5,0.263,0,0
98,27,0.265,1,0
99,22,0.271,1,0
100,21,0.275,1,0
101,20,0.268,1,0
102,20,0.262,0,0
103,23,0.256,0,0.19
104,30,0.335,0,0.439
105,134.5,0.395,0,0.632
106,35.5,0.409,0,0.74
107,39,0.425,1,0.798
108,36.5,0.451,0,0.806
109,49,0.482,1,0.764
110,47,0.513,0,0.658
111,281.5,0.52,1,0.467
112,171,0.475,1,0.23
113,42,0.389,1,0.015
114,34.5,0.342,1,0
115,64.5,0.318,1,0
116,81,0.284,1,0
117,146,0.257,1,0
118,31,0.243,0,0
119,31,0.288,1,0
120,22.5,0.307,1,0
121,25,0.307,1,0
122,23,0.298,1,0
