"hour","power"
0,0
1,0
2,0
3,0
4,0
5,0
6,3
7,7
8,4
9,0
10,0
11,0
12,19
13,15.5
14,30
15,12
16,7
17,6
18,10.5
19,9.5
20,14
21,8
22,8
23,0
24,0
25,0
26,2
27,0
28,2
29,2
30,5
31,4
32,3
33,2
34,2
35,0
36,16.5
37,18
38,18
39,3
40,12
41,12
42,13
43,13
44,7.5
45,6
46,8
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,6
55,8
56,7
57,1.5
58,0
59,1.5
60,10.5
61,15
62,0
63,1.5
64,6
65,16.5
66,19
67,16
68,7.5
69,13.5
70,8
71,0
72,2
73,2
74,0
75,0
76,0
77,0
78,5
79,8
80,7
81,0
82,1.5
83,3
84,7.5
85,15
86,19.5
87,15
88,11
89,10
90,11
91,11.5
92,10
93,9.5
94,6
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,4
103,4
104,8
105,4
106,1.5
107,1.5
108,1.5
109,6
110,7.5
111,7.5
112,7.5
113,15
114,26.5
115,11.5
116,11
117,9.5
118,6
119,0
120,3
121,1.5
122,0
123,2
124,0
125,0
126,7
127,8
128,4.5
129,3
130,3
131,5.5
132,4
133,7.5
134,16.5
135,7.5
136,0
137,9
138,22
139,8
140,9.5
141,8.5
142,8
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,4
151,4.5
152,6
153,4
154,2
155,8.5
156,1.5
157,7.5
158,18
159,15
160,13.5
161,6
162,7
163,11
164,11
165,8
166,5
167,2
