hour,power,SolarGen,Wind,GridAvailability
0,22.5,0,0.847,1
1,24,0,0.794,1
2,24,0,0.752,1
3,21,0,0.718,1
4,22,0,0.689,1
5,21,0,0.664,1
6,27,0.004,0.649,1
7,28,0.049,0.627,0
8,231.5,0.103,0.628,1
9,34.5,0.153,0.651,0
10,35,0.203,0.71,1
11,39.5,0.267,0.805,1
12,32,0.303,0.891,1
13,26.5,0.305,0.941,1
14,169,0.278,0.966,0
15,293,0.212,0.972,0
16,146,0.088,0.972,1
17,27,0.002,0.97,0
18,31,0,0.971,1
19,60,0,0.971,1
20,49,0,0.977,0
21,31,0,0.982,0
22,32,0,0.983,1
23,28,0,0.984,1
24,23.5,0,0.983,0
25,24,0,0.98,1
26,23,0,0.975,1
27,20,0,0.968,1
28,20,0,0.961,0
29,22,0,0.948,0
30,257,0.017,0.934,1
31,266,0.166,0.933,1
32,36.5,0.347,0.948,1
33,135,0.492,0.962,1
34,38,0.564,0.968,0
35,32,0.58,0.973,0
36,33,0.538,0.972,0
37,36,0.47,0.965,1
38,50.5,0.373,0.954,1
39,33.5,0.258,0.943,1
40,31,0.101,0.924,1
41,60,0.002,0.889,1
42,49,0,0.847,1
43,144,0,0.82,0
44,154,0,0.807,1
45,30,0,0.803,1
46,31,0,0.797,1
47,33,0,0.8,1
48,23,0,0.82,1
49,24,0,0.827,1
50,21,0,0.832,1
51,22,0,0.835,0
52,21,0,0.836,1
53,20,0,0.822,1
54,22,0.031,0.797,1
55,25,0.228,0.783,1
56,26,0.432,0.83,1
57,260.5,0.561,0.856,1
58,266.5,0.578,0.849,1
59,39.5,0.605,0.84,1
60,32,0.567,0.829,1
61,29,0.486,0.817,1
62,36.5,0.396,0.808,1
63,55.5,0.273,0.801,1
64,58.5,0.122,0.783,1
65,75.5,0.004,0.75,0
66,67,0,0.724,1
67,149.5,0,0.713,1
68,65,0,0.705,1
69,229,0,0.697,1
70,29,0,0.674,1
71,30,0,0.64,1
72,24,0,0.605,1
73,23,0,0.575,1
74,27,0,0.554,1
75,21,0,0.533,0
76,22,0,0.515,1
77,22,0,0.459,1
78,29,0.042,0.413,1
79,29,0.263,0.391,1
80,28,0.466,0.49,0
81,31,0.604,0.541,0
82,33,0.66,0.521,1
83,155.5,0.676,0.492,1
84,274,0.648,0.465,1
85,35,0.595,0.443,1
86,42.5,0.511,0.428,1
87,42,0.32,0.41,1
88,32.5,0.152,0.38,1
89,46,0.006,0.35,1
90,40,0,0.341,1
91,229,0,0.315,0
92,36,0,0.294,1
93,37,0,0.271,1
94,25,0,0.264,1
95,32,0,0.26,1
96,22,0,0.26,1
97,21.5,0,0.263,1
98,25,0,0.265,1
99,24,0,0.271,1
100,21,0,0.275,1
101,22,0,0.268,1
102,24,0.049,0.262,1
103,31,0.276,0.256,1
104,29,0.469,0.335,1
105,31,0.6,0.395,1
106,35,0.632,0.409,1
107,32,0.625,0.425,1
108,144,0.65,0.451,1
109,257,0.599,0.482,1
110,141.5,0.488,0.513,1
111,53,0.306,0.52,1
112,51,0.144,0.475,1
113,54.5,0.005,0.389,1
114,59,0,0.342,1
115,53.5,0,0.318,1
116,147,0,0.284,1
117,133.5,0,0.257,0
118,24,0,0.243,0
119,28,0,0.288,1
120,21,0,0.307,1
121,24,0,0.307,0
122,20,0,0.298,1
123,20,0,0.315,1
124,22,0,0.302,1
125,23,0,0.291,1
126,21,0.038,0.274,1
127,25,0.232,0.235,1
128,129,0.428,0.249,0
129,33.5,0.579,0.267,1
130,35.5,0.679,0.256,1
131,151.5,0.722,0.253,1
132,271.5,0.727,0.262,1
133,50,0.656,0.285,1
134,65,0.534,0.326,1
135,28,0.352,0.367,0
136,32.5,0.127,0.386,1
137,43,0.004,0.403,1
138,43,0,0.408,1
139,247,0,0.404,0
140,60.5,0,0.391,1
141,45,0,0.382,1
142,39,0,0.374,1
143,38,0,0.377,0
144,21.5,0,0.397,0
145,25.5,0,0.399,1
146,23.5,0,0.404,1
147,21,0,0.404,1
148,20,0,0.395,1
149,22,0,0.393,1
150,30,0.044,0.391,1
151,34,0.262,0.379,1
152,371.5,0.479,0.419,1
153,39.5,0.622,0.461,1
154,33.5,0.705,0.511,1
155,44,0.727,0.57,1
156,58,0.714,0.616,1
157,39,0.657,0.638,1
158,26,0.572,0.652,0
159,32.5,0.415,0.654,0
160,40,0.198,0.639,1
161,32.5,0.008,0.584,1
162,38.5,0,0.527,1
163,40,0,0.507,1
164,28.5,0,0.494,1
165,234.5,0,0.498,0
166,29,0,0.493,1
167,28,0,0.498,1
,,,,1
,,,,1
