"hour","power"
0,8.5
1,15.5
2,17
3,9
4,6
5,0
6,321
7,44
8,545
9,430
10,183
11,27
12,341
13,202
14,46
15,357.5
16,106
17,124
18,130
19,245
20,285.5
21,529.5
22,33
23,27
24,155.5
25,8
26,2.5
27,6
28,0
29,3
30,168
31,24
32,223.5
33,1038
34,185
35,29
36,193
37,85
38,42.5
39,406.5
40,107
41,77.5
42,188
43,406
44,79
45,347
46,30
47,42
48,158.5
49,11
50,5.5
51,3
52,0
53,0
54,309
55,27
56,432
57,326.5
58,188.5
59,22.5
60,223.5
61,62.5
62,292.5
63,684.5
64,337
65,112
66,276.5
67,240
68,144
69,341
70,48
71,57
72,150
73,5
74,8
75,3
76,3
77,9
78,309
79,12
80,34
81,693.5
82,186
83,42
84,314
85,158.5
86,40
87,346
88,64
89,93
90,269
91,479.5
92,483.5
93,37.5
94,51
95,39
96,28.5
97,11
98,6
99,6
100,6
101,6
102,306
103,24
104,218
105,334.5
106,429
107,36
108,203
109,42.5
110,42.5
111,184.5
112,101
113,122
114,415.5
115,213
116,446
117,332
118,33
119,48
120,158.5
121,14.5
122,5.5
123,3
124,3
125,0
126,165
127,15
128,677
129,824
130,426.5
131,25.5
132,312
133,40
134,90
135,391
136,112
137,136
138,260
139,104
140,280.5
141,382
142,54
143,33
144,18
145,12
146,3
147,3
148,0
149,6
150,309
151,33
152,47
153,388
154,538
155,273.5
156,225
157,262
158,126
159,443
160,94
161,66.5
162,351
163,185
164,233
165,330
166,30
167,18
