Demand;SolarGen;Wind
5.39647;0.0;0.14400000000000002
6.27492;0.0;0.132
5.51337;0.0;0.113
4.9859;0.0;0.1
13.4339;0.0;0.08600000000000001
16.23489;0.0;0.077
21.76684;0.10800000000000001;0.068
19.00144;0.314;0.045
17.63702;0.496;0.044000000000000004
20.5099;0.614;0.047
26.82882;0.675;0.051
33.21282;0.685;0.052000000000000005
29.53131;0.631;0.05
28.52368;0.547;0.048
30.52716;0.412;0.047
28.58708;0.23199999999999998;0.049
43.81554000000001;0.055;0.044000000000000004
41.22421;0.0;0.057999999999999996
76.9321;0.0;0.048
83.75148;0.0;0.024
51.10472;0.0;0.01
30.99992;0.0;0.021
19.46722;0.0;0.069
7.1365300000000005;0.0;0.13
5.6123;0.0;0.182
4.86377;0.0;0.222
6.1111900000000015;0.0;0.247
4.48144;0.0;0.261
11.39277;0.0;0.275
13.652170000000002;0.0;0.29
22.32451;0.107;0.275
18.23849;0.29100000000000004;0.376
19.19327;0.455;0.461
23.72418;0.5730000000000001;0.39299999999999996
29.13651;0.635;0.31
23.03731;0.653;0.247
28.48872;0.638;0.208
21.317870000000006;0.5640000000000001;0.18
24.26741;0.43200000000000005;0.16699999999999998
30.09362;0.255;0.17400000000000002
32.6122;0.065;0.165
43.7335;0.0;0.215
76.35369;0.0;0.294
80.60909000000002;0.0;0.365
60.67043;0.0;0.423
30.915640000000003;0.0;0.42200000000000004
11.27316;0.0;0.436
6.8729;0.0;0.456
5.12712;0.0;0.47
5.57075;0.0;0.48
5.5018400000000005;0.0;0.489
5.38116;0.0;0.512
12.44561;0.0;0.5329999999999999
18.03377;0.0;0.544
23.54412;0.115;0.505
21.23624;0.307;0.66
23.5974;0.467;0.652
22.62924;0.6000000000000001;0.5750000000000001
26.4392;0.6679999999999999;0.483
25.21246;0.6930000000000001;0.411
22.86379;0.6629999999999999;0.36200000000000004
26.94526;0.584;0.32299999999999995
27.93631;0.455;0.299
26.577820000000006;0.278;0.28
38.58022;0.077;0.212
53.91921;0.0;0.207
63.81449;0.0;0.271
74.55771;0.0;0.368
61.78035;0.0;0.455
32.67657;0.0;0.51
15.99109;0.0;0.506
7.219810000000002;0.0;0.531
5.08876;0.0;0.5630000000000001
4.84627;0.0;0.59
5.49289;0.0;0.597
5.57941;0.0;0.593
12.69536;0.0;0.586
15.84968;0.001;0.584
19.52981;0.14;0.5720000000000001
20.9375;0.342;0.762
23.21583;0.5;0.742
25.90293;0.619;0.637
31.02924;0.684;0.499
26.20525;0.6920000000000001;0.381
25.9363;0.6509999999999999;0.27399999999999997
32.662440000000004;0.5650000000000001;0.2
28.09872;0.423;0.17
31.7837;0.242;0.16399999999999998
34.21631;0.059;0.14200000000000002
50.19514;0.0;0.162
76.49565;0.0;0.192
80.20893000000002;0.0;0.22899999999999998
72.88987;0.0;0.29100000000000004
33.33776;0.0;0.366
16.40185;0.0;0.419
8.257719999999999;0.0;0.45399999999999996
5.3238900000000005;0.0;0.466
4.69122;0.0;0.46399999999999997
6.19764;0.0;0.457
5.69895;0.0;0.445
8.436169999999999;0.0;0.43700000000000006
13.97036;0.001;0.435
23.61407;0.124;0.38299999999999995
17.98475;0.33;0.44799999999999995
17.444329999999994;0.49700000000000005;0.457
28.80628;0.628;0.376
30.47636;0.6559999999999999;0.29600000000000004
27.28039;0.6559999999999999;0.24100000000000002
30.18171;0.62;0.193
28.62702;0.557;0.155
26.724870000000006;0.43700000000000006;0.132
27.5831;0.265;0.114
34.81583;0.07;0.08800000000000001
41.66102;0.0;0.109
51.11995;0.0;0.152
86.53226;0.0;0.21
57.08164;0.0;0.27399999999999997
30.09171;0.0;0.311
17.26598;0.0;0.314
7.04485;0.0;0.34600000000000003
4.35904;0.0;0.361
3.91071;0.0;0.341
4.53606;0.0;0.32
4.23417;0.0;0.33
10.62769;0.0;0.34400000000000003
10.32576;0.001;0.36200000000000004
14.47786;0.124;0.413
17.29285;0.327;0.644
18.1955;0.495;0.622
22.54767;0.632;0.528
29.61199;0.6890000000000001;0.44299999999999995
29.51151;0.6980000000000001;0.373
27.05531;0.6559999999999999;0.32299999999999995
25.11878;0.5650000000000001;0.293
23.94538;0.42700000000000005;0.27899999999999997
27.92501;0.251;0.271
24.87908;0.066;0.21899999999999997
45.81956;0.0;0.228
60.87159000000001;0.0;0.271
85.81987;0.0;0.313
49.86829;0.0;0.366
28.33942;0.0;0.395
18.77603;0.0;0.415
6.11157;0.0;0.43799999999999994
6.58829;0.0;0.45399999999999996
7.865239999999999;0.0;0.457
7.2199399999999985;0.0;0.44799999999999995
6.9386899999999985;0.0;0.445
16.7425;0.0;0.44799999999999995
19.88345;0.001;0.457
28.27565;0.14300000000000002;0.42700000000000005
24.18803;0.35200000000000004;0.601
27.92686;0.518;0.623
30.74111;0.63;0.541
37.37121;0.6920000000000001;0.447
37.32983;0.705;0.391
34.97094;0.67;0.359
34.6821;0.5920000000000001;0.34700000000000003
44.20694;0.46299999999999997;0.35100000000000003
39.44289000000001;0.28200000000000003;0.34
55.26248;0.078;0.258
63.51745;0.0;0.23
76.63600000000002;0.0;0.268
88.53585;0.0;0.33
73.68218;0.0;0.40399999999999997
37.21756;0.0;0.471
25.07628;0.0;0.51
10.11516;0.0;0.522
5.6264;0.0;0.484
4.14838;0.0;0.479
5.74693;0.0;0.47
5.13957;0.0;0.467
10.88861;0.0;0.471
14.27742;0.001;0.474
16.56074;0.149;0.425
13.65809;0.364;0.625
12.2786;0.532;0.639
18.23306;0.65;0.546
25.58579;0.7070000000000001;0.45899999999999996
21.09743;0.7170000000000001;0.395
21.446720000000006;0.682;0.342
21.87483;0.601;0.31
30.12892;0.471;0.304
24.65674;0.292;0.309
20.80403;0.084;0.267
41.83009000000001;0.0;0.28200000000000003
62.00214;0.0;0.34299999999999997
67.62586;0.0;0.40399999999999997
55.93225;0.0;0.451
30.66023;0.0;0.45899999999999996
10.52669;0.0;0.462
6.72617;0.0;0.475
4.60645;0.0;0.489
5.71609;0.0;0.502
6.12885;0.0;0.513
5.21074;0.0;0.54
12.15965;0.0;0.5630000000000001
17.573729999999998;0.001;0.5740000000000001
27.22831;0.158;0.544
18.92218;0.371;0.725
22.49827;0.537;0.6900000000000001
23.7439;0.645;0.5379999999999999
27.89063;0.7010000000000001;0.38299999999999995
24.35839;0.71;0.281
30.436490000000006;0.6779999999999999;0.215
23.65781;0.595;0.18
28.68221;0.45899999999999996;0.17400000000000002
27.71793;0.253;0.188
39.74135;0.065;0.17800000000000002
46.81208;0.0;0.222
75.67684;0.0;0.302
65.99839;0.0;0.381
52.72161;0.0;0.445
27.55922;0.0;0.48200000000000004
17.23343;0.0;0.489
7.263510000000001;0.0;0.512
5.08605;0.0;0.531
4.213;0.0;0.541
6.02126;0.0;0.5529999999999999
4.76668;0.0;0.5630000000000001
9.70566;0.0;0.5660000000000001
16.03075;0.0;0.557
24.62339;0.092;0.7170000000000001
21.25602;0.271;0.7709999999999999
23.42723;0.442;0.7140000000000001
21.87444;0.603;0.628
28.77651;0.685;0.5529999999999999
26.57757;0.6940000000000001;0.48100000000000004
31.00867;0.648;0.419
23.03658;0.5630000000000001;0.377
33.21308;0.43;0.355
33.4092;0.251;0.34
31.80138;0.063;0.266
57.68227;0.0;0.237
75.28898000000002;0.0;0.28500000000000003
82.26709;0.0;0.365
59.08292;0.0;0.462
31.7802;0.0;0.502
13.277020000000002;0.0;0.5660000000000001
6.63161;0.0;0.618
5.23655;0.0;0.6409999999999999
5.54133;0.0;0.6559999999999999
5.15965;0.0;0.6729999999999999
6.23771;0.0;0.6729999999999999
14.873129999999998;0.0;0.642
17.235960000000002;0.001;0.644
26.17298;0.132;0.6659999999999999
21.34259;0.34;0.727
19.27969;0.509;0.6809999999999999
27.49393;0.615;0.624
25.22792;0.6729999999999999;0.594
32.858340000000005;0.6779999999999999;0.5760000000000001
36.05213;0.632;0.544
26.16803;0.5429999999999999;0.501
29.26007;0.407;0.466
25.59113;0.23;0.406
32.48551;0.055;0.268
56.41746;0.0;0.208
72.94185;0.0;0.235
96.59031;0.0;0.297
52.58911;0.0;0.369
34.638490000000004;0.0;0.423
16.364810000000002;0.0;0.466
7.780989999999999;0.0;0.51
6.06486;0.0;0.535
5.92786;0.0;0.55
6.40679;0.0;0.5700000000000001
6.26673;0.0;0.5920000000000001
13.76294;0.0;0.606
17.6992;0.001;0.603
25.45746;0.119;0.612
20.85691;0.32299999999999995;0.731
24.32686;0.495;0.669
27.16818;0.639;0.5760000000000001
29.28907;0.6980000000000001;0.47
31.89965;0.71;0.392
31.892570000000006;0.6729999999999999;0.33399999999999996
28.31032;0.591;0.294
32.41128;0.46;0.266
34.83593;0.27899999999999997;0.23399999999999999
42.44921;0.075;0.173
53.71732;0.0;0.177
76.16431999999998;0.0;0.215
93.68979;0.0;0.268
68.67748;0.0;0.33399999999999996
29.97675;0.0;0.389
19.44057;0.0;0.43200000000000005
8.42285;0.0;0.475
5.183680000000002;0.0;0.505
4.85735;0.0;0.507
5.93685;0.0;0.489
5.21358;0.0;0.47
11.41096;0.0;0.45399999999999996
15.80608;0.001;0.44799999999999995
22.41596;0.15;0.413
17.547320000000006;0.364;0.505
