"hour","power"
0,75
1,80.5
2,91.5
3,81
4,81
5,78
6,84
7,105
8,123
9,114
10,125
11,120.5
12,129
13,160
14,135
15,437
16,395
17,125
18,99
19,607.5
20,430
21,84.5
22,111
23,105
24,75
25,81
26,81
27,84
28,87
29,81
30,355
31,358
32,104
33,103
34,98
35,104.5
36,127
37,128.5
38,162.5
39,196
40,173
41,184.5
42,185
43,347
44,198.5
45,342.5
46,126
47,117
48,100.5
49,86
50,80
51,75
52,75
53,84
54,84
55,98
56,112
57,121.5
58,131.5
59,114
60,93
61,92
62,152
63,408
64,428
65,182
66,168
67,559
68,194
69,134
70,114
71,99
72,87
73,103
74,88.5
75,75
76,75
77,78
78,81
79,98
80,504.5
81,93
82,105
83,142
84,161
85,126
86,660
87,411
88,136
89,139
90,182
91,443
92,240.5
93,139.5
94,93
95,96
96,75
97,83
98,81
99,78
100,81
101,81
102,96
103,100.5
104,127
105,137
106,140
107,108
108,139
109,172
110,669.5
111,390.5
112,141.5
113,144.5
114,153
115,381
116,379
117,131
118,108
119,105
120,90
121,87
122,81
123,75
124,81
125,78
126,84
127,340
128,593
129,87
130,90
131,107
132,124.5
133,143.5
134,171
135,223
136,247
137,157
138,165.5
139,590.5
140,428
141,136.5
142,102
143,73.5
144,75
145,80
146,83.5
147,81
148,75
149,78
150,81
151,96
152,111
153,120
154,123
155,101.5
156,94
157,75
158,347.5
159,629.5
160,353.5
161,180.5
162,146
163,541.5
164,160
165,313.5
166,105
167,108
