Demand,SolarGen,Wind,GridAvailability
0,0,0.045,1
0,0,0.052,1
0,0,0.045,1
0,0,0.052,1
0,0,0.061,1
0,0,0.079,1
4,0,0.097,1
4,0.105,0.075,0
3,0.355,0.093,1
3,0.546,0.097,0
0,0.665,0.063,1
6,0.722,0.014,1
6,0.723,0,1
0,0.669,0.001,1
3,0.555,0.005,0
6,0.366,0.014,0
3,0.135,0.019,1
6,0,0.003,0
9,0,0.002,1
6,0,0.006,1
4,0,0.011,0
4,0,0.011,0
16,0,0.019,1
16,0,0.059,1
0,0,0.072,0
0,0,0.052,1
0,0,0.019,1
0,0,0.007,1
0,0,0.003,0
0,0,0.004,0
8,0,0.01,1
10,0.113,0.006,1
3,0.373,0,1
6,0.566,0,1
6,0.689,0.002,0
6,0.748,0.005,0
6,0.733,0.014,0
3,0.683,0.041,1
9,0.573,0.081,1
24,0.395,0.116,1
24,0.156,0.124,1
18,0,0.139,1
25,0,0.166,1
28,0,0.188,0
22,0,0.182,1
6,0,0.152,1
10,0,0.102,1
22,0,0.048,1
0,0,0.013,1
0,0,0.001,1
0,0,0,1
0,0,0.008,0
0,0,0.056,1
0,0,0.13,1
4,0,0.167,1
4,0.097,0.076,1
6,0.349,0.006,1
9,0.53,0.005,1
3,0.665,0.003,1
3,0.731,0,1
3,0.74,0.001,1
6,0.685,0.001,1
3,0.563,0.001,1
24,0.33,0,1
21,0.11,0.011,1
24,0,0.036,0
8,0,0.039,1
12,0,0.042,1
20,0,0.049,1
20,0,0.064,1
8,0,0.104,1
8,0,0.151,1
0,0,0.156,1
0,0,0.128,1
0,0,0.11,1
0,0,0.098,0
0,0,0.098,1
0,0,0.11,1
2,0,0.076,1
4,0.066,0.003,1
6,0.28,0.001,0
3,0.485,0.011,0
6,0.62,0.053,1
6,0.687,0.112,1
3,0.678,0.155,1
3,0.627,0.195,1
0,0.512,0.252,1
6,0.311,0.329,1
9,0.105,0.49,1
15,0,0.582,1
11,0,0.593,1
39,0,0.526,0
22,0,0.372,1
10,0,0.3,1
20,0,0.263,1
20,0,0.225,1
0,0,0.188,1
0,0,0.161,1
0,0,0.121,1
0,0,0.094,1
0,0,0.08,1
0,0,0.077,1
4,0,0.052,1
4,0.073,0.061,1
0,0.296,0.132,1
6,0.461,0.23,1
6,0.587,0.373,1
3,0.616,0.432,1
3,0.6,0.44,1
3,0.552,0.451,1
6,0.44,0.435,1
15,0.308,0.366,1
15,0.101,0.373,1
21,0,0.382,1
40,0,0.382,1
22,0,0.373,1
7,0,0.326,1
8,0,0.231,0
4,0,0.151,0
0,0,0.093,1
0,0,0.058,1
0,0,0.032,0
0,0,0.015,1
0,0,0.005,1
0,0,0.001,1
0,0,0.001,1
4,0,0.003,1
6,0.072,0.002,1
15,0.299,0.002,0
6,0.506,0.002,1
12,0.639,0.004,1
9,0.701,0.006,1
3,0.683,0.004,1
6,0.628,0.002,1
12,0.509,0.002,1
6,0.306,0.017,0
15,0.1,0.049,1
21,0,0.063,1
23,0,0.079,1
38,0,0.101,0
5,0,0.11,1
19,0,0.106,1
6,0,0.098,1
4,0,0.088,0
0,0,0.08,0
0,0,0.075,1
0,0,0.062,1
0,0,0.035,1
0,0,0.013,1
0,0,0.004,1
4,0,0.001,1
4,0.099,0,1
0,0.352,0,1
3,0.56,0.002,1
6,0.694,0.004,1
3,0.76,0.013,1
3,0.748,0.026,1
6,0.697,0.044,1
9,0.581,0.058,0
21,0.398,0.082,0
3,0.153,0.102,1
0,0.001,0.102,1
29,0,0.107,1
26,0,0.104,1
27,0,0.091,1
26,0,0.066,0
20,0,0.041,1
20,0,0.024,1
0,0,0.016,1
0,0,0.014,1
0,0,0.011,1
0,0,0.008,0
0,0,0.004,1
