Demand;SolarGen;Wind
6.5669;0.0;0.17400000000000002
8.97483;0.0;0.157
5.87098;0.0;0.133
6.74838;0.0;0.11699999999999999
13.483670000000002;0.0;0.10099999999999999
18.47345;0.001;0.092
22.30176;0.104;0.081
15.03348;0.305;0.06
20.784370000000006;0.49200000000000005;0.055999999999999994
22.4799;0.612;0.053
26.48533;0.672;0.053
31.02317;0.6809999999999999;0.052000000000000005
24.07389;0.626;0.047
25.45013;0.541;0.044000000000000004
23.0553;0.407;0.042
21.77534;0.228;0.042
29.81897;0.053;0.037000000000000005
43.28049;0.0;0.048
61.2705;0.0;0.039
74.27956;0.0;0.017
51.49159;0.0;0.006
29.69678;0.0;0.019
17.288120000000006;0.0;0.065
11.09202;0.0;0.121
6.9436399999999985;0.0;0.165
5.52942;0.0;0.19699999999999998
6.97002;0.0;0.21600000000000003
6.18695;0.0;0.23
14.53016;0.0;0.245
15.44189;0.001;0.26
22.13504;0.11;0.243
15.89085;0.29600000000000004;0.36200000000000004
20.5767;0.461;0.467
18.48337;0.58;0.407
26.1556;0.6409999999999999;0.316
24.61408;0.6559999999999999;0.244
22.85806;0.637;0.19899999999999998
28.47043;0.56;0.171
27.92214;0.428;0.156
22.44527;0.25;0.16
31.74851;0.062;0.14800000000000002
46.00004000000001;0.0;0.195
63.767480000000006;0.0;0.268
69.93186999999999;0.0;0.342
54.89442;0.0;0.40399999999999997
27.37696;0.0;0.411
16.79676;0.0;0.42
10.28964;0.0;0.434
6.34154;0.0;0.441
7.1341899999999985;0.0;0.445
7.49786;0.0;0.45
5.87412;0.0;0.471
12.8688;0.0;0.489
16.33067;0.001;0.494
25.26827;0.11199999999999999;0.451
21.90008;0.301;0.642
15.43462;0.466;0.645
21.60284;0.602;0.5700000000000001
24.84988;0.6679999999999999;0.46799999999999997
27.41334;0.6900000000000001;0.38799999999999996
21.25658;0.6609999999999999;0.335
24.07594;0.5820000000000001;0.299
24.78162;0.45299999999999996;0.278
24.69665;0.275;0.26
27.028140000000004;0.07400000000000001;0.195
45.72265;0.0;0.195
67.28498;0.0;0.26
64.55985;0.0;0.364
58.40628;0.0;0.44799999999999995
25.91082;0.0;0.494
20.10013;0.0;0.49200000000000005
8.04942;0.0;0.507
5.88828;0.0;0.526
7.722110000000002;0.0;0.544
6.22922;0.0;0.547
7.4542199999999985;0.0;0.539
12.43788;0.0;0.531
15.82606;0.001;0.526
24.38332;0.139;0.516
19.79696;0.33899999999999997;0.74
16.80874;0.496;0.731
23.95375;0.616;0.624
27.56437;0.679;0.48200000000000004
32.62689;0.687;0.363
27.7148;0.645;0.258
24.94363;0.5579999999999999;0.187
27.45536;0.418;0.157
28.34815;0.237;0.152
30.8529;0.055999999999999994;0.129
46.84136;0.0;0.15
59.15582;0.0;0.18
57.56016;0.0;0.223
58.77984;0.0;0.294
29.14398;0.0;0.373
17.528389999999998;0.0;0.416
6.44271;0.0;0.44
7.14116;0.0;0.444
6.6086100000000005;0.0;0.434
8.28427;0.0;0.42100000000000004
7.18965;0.0;0.407
13.69437;0.0;0.39799999999999996
17.46217;0.001;0.39399999999999996
23.24806;0.124;0.34400000000000003
18.16825;0.32899999999999996;0.42700000000000005
19.96537;0.496;0.44299999999999995
21.98938;0.629;0.37
26.49052;0.6609999999999999;0.28600000000000003
28.84745;0.65;0.223
22.88517;0.6000000000000001;0.17400000000000002
22.45323;0.542;0.13699999999999998
22.9777;0.42700000000000005;0.11699999999999999
22.36458;0.259;0.103
26.43444;0.067;0.08199999999999999
47.41165;0.0;0.11199999999999999
61.70746;0.0;0.161
65.50046;0.0;0.225
46.18619;0.0;0.294
29.66557;0.0;0.32899999999999996
20.03653;0.0;0.325
9.79959;0.0;0.34700000000000003
7.2625199999999985;0.0;0.35000000000000003
7.746810000000001;0.0;0.318
7.5407600000000015;0.0;0.28600000000000003
6.39853;0.0;0.28800000000000003
14.12716;0.0;0.301
13.50298;0.001;0.318
22.96386;0.124;0.366
20.58217;0.32299999999999995;0.606
19.2421;0.491;0.589
18.73984;0.628;0.507
27.06244;0.685;0.425
23.59406;0.6910000000000001;0.358
24.884870000000006;0.6509999999999999;0.308
26.14076;0.555;0.276
23.64434;0.416;0.26
26.76378;0.242;0.248
36.98568;0.062;0.19399999999999998
54.76814;0.0;0.207
62.99559;0.0;0.256
71.00565999999998;0.0;0.312
51.81798;0.0;0.371
32.4046;0.0;0.39899999999999997
19.60456;0.0;0.411
10.29946;0.0;0.425
6.85354;0.0;0.43700000000000006
7.12039;0.0;0.436
6.5758;0.0;0.426
7.98009;0.0;0.419
15.24022;0.0;0.41700000000000004
17.58914;0.001;0.423
19.94147;0.14200000000000002;0.387
22.69475;0.35000000000000003;0.589
18.16455;0.515;0.624
24.47371;0.628;0.542
24.46535;0.6890000000000001;0.44
23.99816;0.7020000000000001;0.375
24.03974;0.6679999999999999;0.336
23.5135;0.589;0.318
35.20141;0.45899999999999996;0.318
26.46915;0.27899999999999997;0.31
40.06855;0.076;0.236
46.12878;0.0;0.221
55.65436;0.0;0.264
75.92528;0.0;0.32899999999999996
60.85871;0.0;0.407
35.56813;0.0;0.476
20.30124;0.0;0.512
10.14549;0.0;0.521
7.081110000000002;0.0;0.469
5.9309;0.0;0.451
7.1124399999999985;0.0;0.434
7.67288;0.0;0.42200000000000004
13.68578;0.0;0.419
15.567570000000002;0.001;0.418
24.4923;0.149;0.36700000000000005
18.07037;0.364;0.583
20.96136;0.531;0.623
19.29163;0.648;0.531
25.14885;0.705;0.44299999999999995
25.61323;0.7140000000000001;0.376
28.12172;0.679;0.325
22.83306;0.597;0.294
22.68655;0.466;0.289
25.33979;0.28800000000000003;0.292
30.40973;0.081;0.248
37.53334;0.0;0.272
55.76739;0.0;0.34299999999999997
76.13979;0.0;0.41
51.90899;0.0;0.451
27.71612;0.0;0.45299999999999996
16.066779999999998;0.0;0.45399999999999996
8.4668;0.0;0.46299999999999997
8.90782;0.0;0.474
7.78188;0.0;0.483
7.288589999999999;0.0;0.49200000000000005
6.24454;0.0;0.514
11.43077;0.0;0.53
16.72307;0.002;0.531
23.5;0.158;0.489
15.05035;0.37;0.6930000000000001
20.95998;0.535;0.6729999999999999
23.1193;0.643;0.526
22.27116;0.6980000000000001;0.374
23.16564;0.705;0.272
25.12855;0.674;0.205
24.4179;0.59;0.168
28.73336;0.451;0.16
23.88717;0.244;0.172
31.45947;0.061;0.157
43.27505;0.0;0.203
65.27696999999999;0.0;0.28800000000000003
61.42635;0.0;0.373
52.61676;0.0;0.439
31.21385;0.0;0.475
18.32817;0.0;0.48
8.044089999999999;0.0;0.495
5.8173900000000005;0.0;0.507
5.54516;0.0;0.509
6.1376300000000015;0.0;0.514
5.5818400000000015;0.0;0.522
8.70468;0.0;0.518
12.6145;0.0;0.5
16.52415;0.083;0.675
15.8951;0.247;0.745
17.42619;0.419;0.6829999999999999
20.43555;0.593;0.593
25.83198;0.682;0.513
15.8876;0.6900000000000001;0.44299999999999995
20.53432;0.642;0.38299999999999995
22.37025;0.557;0.34500000000000003
19.53151;0.424;0.32899999999999996
20.03125;0.245;0.317
