Demand;SolarGen;Wind
2.33789;0.0;0.024
2.61285;0.0;0.040999999999999995
2.72394;0.0;0.064
2.58053;0.0;0.08199999999999999
5.51853;0.0;0.092
6.60878;0.0;0.096
10.85869;0.119;0.091
7.77747;0.33399999999999996;0.037000000000000005
9.00812;0.506;0.027999999999999997
11.07858;0.631;0.025
14.208620000000002;0.6940000000000001;0.019
13.10691;0.708;0.015
15.27218;0.6709999999999999;0.011000000000000001
14.438020000000002;0.5870000000000001;0.008
15.81781;0.452;0.008
12.84417;0.26899999999999996;0.011000000000000001
16.1408;0.07100000000000001;0.018000000000000002
25.6377;0.0;0.040999999999999995
38.83693;0.0;0.047
39.42734;0.0;0.04
26.85996;0.0;0.03
13.0099;0.0;0.028999999999999998
7.21939;0.0;0.042
3.11992;0.0;0.07
2.27203;0.0;0.119
2.22017;0.0;0.18
2.3438;0.0;0.23199999999999998
2.4781;0.0;0.273
6.3280699999999985;0.0;0.304
6.73495;0.0;0.342
9.77255;0.10099999999999999;0.331
8.69332;0.297;0.28400000000000003
9.66584;0.471;0.145
12.80863;0.562;0.063
15.35288;0.626;0.04
13.6329;0.6509999999999999;0.034
10.32286;0.652;0.028999999999999998
10.48053;0.5760000000000001;0.021
13.28445;0.449;0.019
14.99858;0.27399999999999997;0.026
15.22694;0.077;0.049
26.338990000000006;0.0;0.122
29.18719;0.0;0.22
33.75544;0.0;0.305
22.67367;0.0;0.359
14.96628;0.0;0.39
5.7364;0.0;0.39299999999999996
3.2503900000000003;0.0;0.37
2.24563;0.0;0.369
2.21855;0.0;0.39299999999999996
2.67806;0.0;0.425
2.8224;0.0;0.466
5.83861;0.0;0.502
6.69533;0.0;0.525
10.32253;0.11599999999999999;0.495
9.09962;0.32;0.501
8.9497;0.49;0.379
9.75862;0.625;0.231
12.64551;0.6970000000000001;0.161
13.28129;0.7120000000000001;0.141
12.91425;0.675;0.129
11.85876;0.597;0.113
14.8423;0.469;0.11699999999999999
13.84234;0.29;0.13
14.74474;0.085;0.14200000000000002
23.34729;0.0;0.225
28.9923;0.0;0.36200000000000004
33.14574;0.0;0.436
25.69855;0.0;0.46299999999999997
11.91875;0.0;0.465
8.453;0.0;0.469
3.01592;0.0;0.499
2.44816;0.0;0.531
2.53291;0.0;0.5650000000000001
2.86776;0.0;0.593
2.84404;0.0;0.588
5.62631;0.0;0.584
7.85807;0.0;0.59
12.81341;0.106;0.586
9.27579;0.28700000000000003;0.628
9.79895;0.465;0.508
12.85903;0.629;0.326
15.14945;0.7020000000000001;0.19899999999999998
16.22265;0.711;0.109
15.83499;0.664;0.057999999999999996
15.65075;0.531;0.039
15.63879;0.418;0.04
14.73434;0.263;0.053
19.26843;0.079;0.079
23.08327;0.0;0.165
34.05907;0.0;0.266
33.84957;0.0;0.336
30.98046;0.0;0.375
14.37505;0.0;0.402
8.50954;0.0;0.42100000000000004
3.7308;0.0;0.434
2.46;0.0;0.445
3.0082;0.0;0.46399999999999997
2.82075;0.0;0.47
2.78999;0.0;0.45799999999999996
6.6757;0.0;0.44799999999999995
8.76931;0.0;0.446
13.16999;0.118;0.396
9.17085;0.331;0.34
10.28946;0.506;0.264
12.48307;0.631;0.162
15.06647;0.6980000000000001;0.13
16.02214;0.7140000000000001;0.111
15.92115;0.6729999999999999;0.096
14.67438;0.596;0.08
16.06346;0.466;0.07100000000000001
18.08447;0.28500000000000003;0.066
16.29186;0.08;0.07100000000000001
22.81536;0.0;0.12
38.33035;0.0;0.158
44.93131;0.0;0.162
28.53985;0.0;0.166
15.51207;0.0;0.17
9.26315;0.0;0.182
3.3951;0.0;0.24
3.06457;0.0;0.303
2.91046;0.0;0.35200000000000004
2.3561;0.0;0.395
2.61918;0.0;0.44799999999999995
7.14065;0.0;0.493
8.34644;0.0;0.515
12.11315;0.119;0.48700000000000004
8.72495;0.336;0.531
9.89403;0.511;0.384
12.09915;0.647;0.191
14.29599;0.7090000000000001;0.1
16.12436;0.722;0.067
16.15713;0.687;0.062
14.58636;0.606;0.065
14.079479999999998;0.475;0.081
12.66032;0.29600000000000004;0.10800000000000001
17.44685;0.08600000000000001;0.14200000000000002
27.92323;0.0;0.225
40.40481;0.0;0.32899999999999996
37.23148;0.0;0.376
27.36083;0.0;0.40399999999999997
16.00315;0.0;0.387
8.378969999999999;0.0;0.37
3.43031;0.0;0.37
3.01979;0.0;0.37200000000000005
2.09481;0.0;0.36700000000000005
2.70588;0.0;0.364
2.71657;0.0;0.382
7.10917;0.0;0.41
7.86971;0.0;0.43
9.51729;0.14800000000000002;0.39799999999999996
8.70037;0.366;0.395
10.2827;0.536;0.258
11.72758;0.65;0.156
13.850370000000002;0.711;0.113
13.73211;0.7240000000000001;0.121
12.8472;0.687;0.14
14.0975;0.61;0.165
17.06101;0.48100000000000004;0.19
15.18157;0.29600000000000004;0.209
16.05371;0.08800000000000001;0.228
21.19488;0.0;0.289
37.11504;0.0;0.382
38.45307;0.0;0.381
24.93872;0.0;0.359
13.67654;0.0;0.366
7.445989999999999;0.0;0.37
3.41481;0.0;0.379
2.33503;0.0;0.39799999999999996
2.1618;0.0;0.423
2.40021;0.0;0.456
2.30819;0.0;0.48100000000000004
6.658689999999999;0.0;0.499
8.6028;0.0;0.513
11.82667;0.14800000000000002;0.47
10.13822;0.37;0.532
8.77716;0.541;0.415
9.75484;0.66;0.252
12.75714;0.7190000000000001;0.17400000000000002
15.65007;0.731;0.14400000000000002
11.87665;0.6980000000000001;0.124
11.53774;0.618;0.12
11.64185;0.484;0.138
11.01632;0.293;0.17400000000000002
17.80957;0.084;0.217
21.69994;0.0;0.306
35.31304;0.0;0.433
36.55376;0.0;0.48200000000000004
26.28104;0.0;0.466
11.55864;0.0;0.44299999999999995
8.85337;0.0;0.428
3.25213;0.0;0.423
2.79219;0.0;0.42700000000000005
2.18976;0.0;0.43799999999999994
2.30874;0.0;0.45399999999999996
2.28809;0.0;0.494
5.89932;0.0;0.531
6.43848;0.0;0.5589999999999999
7.776560000000001;0.158;0.535
7.68422;0.379;0.5680000000000001
8.32896;0.5489999999999999;0.42
7.63934;0.662;0.212
9.13032;0.722;0.10800000000000001
10.07199;0.735;0.066
9.84955;0.7020000000000001;0.048
11.03084;0.623;0.042
13.78799;0.494;0.049
11.93304;0.295;0.07100000000000001
14.370629999999998;0.08700000000000001;0.11199999999999999
20.01547;0.0;0.231
30.18995;0.0;0.375
33.29175;0.0;0.436
23.58985;0.0;0.446
12.24831;0.0;0.446
6.246180000000002;0.0;0.46399999999999997
2.59318;0.0;0.45399999999999996
2.33187;0.0;0.48200000000000004
2.01865;0.0;0.526
2.26554;0.0;0.5760000000000001
2.38761;0.0;0.607
5.45608;0.0;0.62
7.60505;0.0;0.623
11.36142;0.125;0.596
8.147780000000001;0.34;0.627
8.87278;0.516;0.526
11.93438;0.64;0.35000000000000003
10.99282;0.7010000000000001;0.248
11.6316;0.71;0.185
10.82487;0.675;0.16699999999999998
11.16605;0.5920000000000001;0.158
12.51419;0.46;0.165
15.029000000000002;0.27899999999999997;0.19
13.56384;0.079;0.23199999999999998
20.48192;0.0;0.314
26.14209;0.0;0.407
31.6742;0.0;0.435
24.40328;0.0;0.441
13.16548;0.0;0.477
6.8110100000000005;0.0;0.51
2.72242;0.0;0.5529999999999999
1.62613;0.0;0.581
1.98609;0.0;0.619
1.54784;0.0;0.6409999999999999
1.92725;0.0;0.649
4.09278;0.0;0.653
6.3343;0.0;0.633
8.44614;0.119;0.607
4.91614;0.321;0.5760000000000001
7.73579;0.512;0.544
6.9504800000000015;0.606;0.475
11.77516;0.6809999999999999;0.391
8.504760000000001;0.708;0.364
9.89961;0.669;0.35100000000000003
10.34543;0.588;0.331
10.22686;0.45399999999999996;0.33399999999999996
10.45572;0.26899999999999996;0.32299999999999995
12.31276;0.07100000000000001;0.28500000000000003
20.80097;0.0;0.256
32.52643;0.0;0.29
26.49659;0.0;0.306
19.55861;0.0;0.324
10.06018;0.0;0.34
5.98031;0.0;0.355
3.10133;0.0;0.37799999999999995
2.05884;0.0;0.40299999999999997
2.5906700000000003;0.0;0.431
2.4727;0.0;0.45799999999999996
2.25903;0.0;0.488
5.5560800000000015;0.0;0.51
5.16796;0.0;0.522
8.72135;0.115;0.496
8.324710000000001;0.326;0.491
7.826289999999998;0.502;0.38799999999999996
7.48544;0.642;0.228
10.46228;0.706;0.126
11.2091;0.723;0.103
10.6503;0.6900000000000001;0.098
9.33239;0.613;0.092
12.10746;0.486;0.08800000000000001
10.70843;0.306;0.085
13.54212;0.09300000000000001;0.095
20.80451;0.0;0.179
25.59042;0.0;0.304
38.43971;0.0;0.39799999999999996
17.83906;0.0;0.44299999999999995
14.10577;0.0;0.457
6.4283199999999985;0.0;0.414
2.61105;0.0;0.40399999999999997
2.84223;0.0;0.4
3.13485;0.0;0.382
2.70777;0.0;0.359
2.19267;0.0;0.35700000000000004
5.2645;0.0;0.359
7.017010000000001;0.0;0.35600000000000004
10.15647;0.14;0.305
6.986160000000001;0.358;0.182
7.553160000000001;0.529;0.04
11.75735;0.648;0.0
10.64845;0.71;0.0
13.94053;0.7190000000000001;0.0
13.14479;0.679;0.0
13.22859;0.596;0.0
13.239670000000002;0.474;0.0
11.35102;0.29600000000000004;0.0
17.95366;0.08900000000000001;0.0
21.46115;0.0;0.002
33.49913;0.0;0.013999999999999999
35.86888;0.0;0.036000000000000004
30.60712;0.0;0.06
11.76727;0.0;0.076
5.86419;0.0;0.096
2.26424;0.0;0.129
2.53717;0.0;0.159
2.06635;0.0;0.172
2.34525;0.0;0.172
2.18554;0.0;0.162
5.41573;0.0;0.155
7.95265;0.0;0.114
10.05239;0.136;0.07100000000000001
9.19903;0.354;0.004
9.35983;0.527;0.0
10.53355;0.644;0.006
11.04715;0.7090000000000001;0.009000000000000001
10.56056;0.723;0.015
16.48411;0.664;0.028999999999999998
