"hour","power"
0,6
1,6
2,0
3,0
4,0
5,0
6,18
7,24
8,9
9,0
10,12
11,0
12,0
13,2.5
14,7.5
15,0
16,20
17,93.5
18,97
19,29.5
20,21
21,24
22,21
23,0
24,0
25,8.5
26,3
27,0
28,0
29,0
30,15
31,18
32,14.5
33,2.5
34,0
35,0
36,0
37,0
38,25
39,47.5
40,62.5
41,40
42,46.5
43,35
44,38.5
45,21
46,21
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,18
55,24
56,17
57,2.5
58,2.5
59,5
60,54.5
61,42.5
62,7.5
63,7.5
64,2.5
65,0
66,32
67,58
68,40.5
69,24
70,24
71,12
72,0
73,0
74,0
75,0
76,0
77,0
78,21
79,24
80,12
81,2.5
82,5
83,22.5
84,48.5
85,19.5
86,7.5
87,5
88,0
89,20
90,55
91,44
92,20.5
93,20
94,24
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,9
103,18
104,18
105,12
106,6
107,25
108,0
109,42.5
110,47.5
111,22.5
112,5
113,0
114,29
115,63
116,51.5
117,26.5
118,24
119,0
120,12
121,12
122,0
123,0
124,3
125,6
126,15
127,24
128,14.5
129,11
130,2.5
131,5
132,5
133,0
134,5
135,45
136,80
137,65
138,55
139,50
140,20.5
141,23.5
142,24
143,0
144,0
145,6
146,3
147,0
148,0
149,0
150,9
151,18
152,11
153,6
154,8.5
155,5
156,25
157,42.5
158,40
159,40
160,50
161,2.5
162,31.5
163,49
164,15
165,15
166,15
167,0
