,power,Wind,GridAvailability,SolarGen
0,0,0.847,1,0
1,0,0.794,1,0
2,0,0.752,1,0
3,6,0.718,1,0
4,6,0.689,1,0
5,0,0.664,1,0
6,18,0.649,1,0
7,21,0.627,0,0.105
8,12,0.628,1,0.355
9,0,0.651,0,0.546
10,2.5,0.71,1,0.665
11,25,0.805,1,0.722
12,42.5,0.891,1,0.723
13,45,0.941,1,0.669
14,65,0.966,0,0.555
15,2.5,0.972,0,0.366
16,6,0.972,1,0.135
17,12,0.97,0,0
18,44,0.971,1,0
19,58,0.971,1,0
20,23,0.977,0,0
21,23.5,0.982,0,0
22,21,0.983,1,0
23,0,0.984,1,0
24,0,0.983,0,0
25,0,0.98,1,0
26,0,0.975,1,0
27,0,0.968,1,0
28,3,0.961,0,0
29,6,0.948,0,0
30,12,0.934,1,0
31,18,0.933,1,0.113
32,23.5,0.948,1,0.373
33,8.5,0.962,1,0.566
34,0,0.968,0,0.689
35,5,0.973,0,0.748
36,25,0.972,0,0.733
37,42.5,0.965,1,0.683
38,57,0.954,1,0.573
39,22.5,0.943,1,0.395
40,5,0.924,1,0.156
41,5,0.889,1,0
42,29,0.847,1,0
43,44,0.82,0,0
44,44,0.807,1,0
45,18,0.803,1,0
46,18,0.797,1,0
47,6,0.8,1,0
48,5,0.82,1,0
49,0,0.827,1,0
50,0,0.832,1,0
51,0,0.835,0,0
52,0,0.836,1,0
53,0,0.822,1,0
54,9,0.797,1,0
55,15,0.783,1,0.097
56,9,0.83,1,0.349
57,12,0.856,1,0.53
58,0,0.849,1,0.665
59,0,0.84,1,0.731
60,0,0.829,1,0.74
61,5,0.817,1,0.685
62,25,0.808,1,0.563
63,42.5,0.801,1,0.33
64,67.5,0.783,1,0.11
65,45,0.75,0,0
66,12,0.724,1,0
67,18,0.713,1,0
68,21,0.705,1,0
69,36,0.697,1,0
70,33,0.674,1,0
71,0,0.64,1,0
72,5,0.605,1,0
73,5,0.575,1,0
74,6,0.554,1,0
75,6,0.533,0,0
76,0,0.515,1,0
77,0,0.459,1,0
78,18,0.413,1,0
79,21,0.391,1,0.066
80,12,0.49,0,0.28
81,5,0.541,0,0.485
82,5,0.521,1,0.62
83,5,0.492,1,0.687
84,0,0.465,1,0.678
85,40,0.443,1,0.627
86,52,0.428,1,0.512
87,72,0.41,1,0.311
88,45,0.38,1,0.105
89,0,0.35,1,0
90,15,0.341,1,0
91,24,0.315,0,0
92,44,0.294,1,0
93,24,0.271,1,0
94,18,0.264,1,0
95,0,0.26,1,0
96,0,0.26,1,0
97,0,0.263,1,0
98,0,0.265,1,0
99,0,0.271,1,0
100,3,0.275,1,0
101,3,0.268,1,0
102,9,0.262,1,0
103,15,0.256,1,0.073
104,6,0.335,1,0.296
105,0,0.395,1,0.461
106,0,0.409,1,0.587
107,2.5,0.425,1,0.616
108,2.5,0.451,1,0.6
109,46,0.482,1,0.552
110,31,0.513,1,0.44
111,42.5,0.52,1,0.308
112,45,0.475,1,0.101
113,22.5,0.389,1,0
114,54,0.342,1,0
115,31,0.318,1,0
116,23,0.284,1,0
117,24,0.257,0,0
118,24,0.243,0,0
119,0,0.288,1,0
120,0,0.307,1,0
121,0,0.307,0,0
122,0,0.298,1,0
123,0,0.315,1,0
124,0,0.302,1,0
125,0,0.291,1,0
126,12,0.274,1,0
127,12,0.235,1,0.072
128,9,0.249,0,0.299
129,5,0.267,1,0.506
130,5,0.256,1,0.639
131,10,0.253,1,0.701
132,2.5,0.262,1,0.683
133,26,0.285,1,0.628
134,32,0.326,1,0.509
135,6,0.367,0,0.306
136,45,0.386,1,0.1
137,0,0.403,1,0
138,11.5,0.408,1,0
139,64,0.404,0,0
140,43,0.391,1,0
141,26,0.382,1,0
142,24,0.374,1,0
143,6,0.377,0,0
144,0,0.397,0,0
145,6,0.399,1,0
146,3,0.404,1,0
147,6,0.404,1,0
148,3,0.395,1,0
149,0,0.393,1,0
150,21,0.391,1,0
151,24,0.379,1,0.099
152,24,0.419,1,0.352
153,0,0.461,1,0.56
154,0,0.511,1,0.694
155,0,0.57,1,0.76
156,0,0.616,1,0.748
157,12,0.638,1,0.697
158,17,0.652,0,0.581
159,7.5,0.654,0,0.398
160,7.5,0.639,1,0.153
161,25,0.584,1,0.001
162,102.5,0.527,1,0
163,60,0.507,1,0
164,21,0.494,1,0
165,24,0.498,0,0
166,24,0.493,1,0
167,0,0.498,1,0
0,0,0.847,1,0
1,0,0.794,1,0
2,0,0.752,1,0
3,0,0.718,0,0
4,0,0.689,1,0
5,0,0.664,1,0
6,3,0.649,1,0
7,23,0.627,1,0.1
8,17,0.628,1,0.35
9,0,0.651,1,0.544
10,0,0.71,1,0.671
11,6,0.805,0,0.732
12,26,0.891,0,0.709
13,25,0.941,1,0.654
14,25,0.966,1,0.532
15,5,0.972,1,0.305
16,20,0.972,0,0.098
17,40,0.97,1,0
18,54.5,0.971,1,0
19,26.5,0.971,1,0
20,24,0.977,1,0
21,30,0.982,1,0
22,36,0.983,1,0
23,0,0.984,0,0
24,0,0.983,0,0
25,0,0.98,1,0
26,3,0.975,1,0
27,6,0.968,1,0
28,6,0.961,1,0
29,3,0.948,0,0
30,12,0.934,1,0
31,18,0.933,0,0.076
32,18,0.948,1,0.301
33,12,0.962,0,0.509
34,5,0.968,0,0.641
35,5,0.973,1,0.706
36,5,0.972,1,0.698
37,0,0.965,1,0.645
38,20,0.954,1,0.527
39,40,0.943,1,0.342
40,20,0.924,0,0.119
41,20,0.889,1,0
42,60,0.847,1,0
43,31,0.82,0,0
44,31.5,0.807,1,0
45,20.5,0.803,1,0
46,21,0.797,1,0
47,0,0.8,0,0
48,12,0.82,1,0
49,0,0.827,1,0
50,0,0.832,0,0
51,0,0.835,1,0
52,0,0.836,1,0
53,0,0.822,1,0
54,3,0.797,1,0
55,26.5,0.783,0,0.081
56,17.5,0.83,1,0.298
57,0,0.856,1,0.47
58,2.5,0.849,1,0.551
59,0,0.84,1,0.564
60,0,0.829,0,0.577
61,2.5,0.817,0,0.52
62,5,0.808,1,0.368
63,20,0.801,0,0.212
64,20,0.783,1,0.088
65,25,0.75,1,0
66,56.5,0.724,1,0
67,25.5,0.713,1,0
68,20,0.705,1,0
69,33,0.697,0,0
70,24,0.674,1,0
71,0,0.64,1,0
72,2.5,0.605,1,0
73,2.5,0.575,1,0
74,0,0.554,1,0
75,0,0.533,0,0
76,3,0.515,1,0
77,6,0.459,1,0
78,15,0.413,1,0
79,24,0.391,1,0.093
80,14,0.49,1,0.279
81,6,0.541,0,0.383
82,12,0.521,0,0.3
83,11,0.492,1,0.241
84,0,0.465,0,0.269
85,0,0.443,1,0.52
86,5,0.428,1,0.199
87,25,0.41,1,0.074
88,62.5,0.38,1,0.027
89,42.5,0.35,1,0
90,18,0.341,1,0
91,64,0.315,0,0
92,21,0.294,0,0
93,18,0.271,0,0
94,15,0.264,1,0
95,0,0.26,1,0
96,6,0.26,0,0
97,8.5,0.263,0,0
98,0,0.265,1,0
99,0,0.271,1,0
100,0,0.275,1,0
101,0,0.268,0,0
102,12,0.262,1,0
103,20.5,0.256,1,0.119
104,11.5,0.335,1,0.356
105,0,0.395,1,0.561
106,5,0.409,0,0.691
107,5,0.425,1,0.758
108,5,0.451,1,0.765
109,8.5,0.482,0,0.715
110,6,0.513,0,0.603
111,0,0.52,1,0.412
112,42.5,0.475,1,0.168
113,45,0.389,1,0.002
114,97,0.342,0,0
115,23.5,0.318,0,0
116,24,0.284,1,0
117,18,0.257,1,0
118,24,0.243,1,0
119,0,0.288,0,0
120,14.5,0.307,1,0
121,6,0.307,1,0
122,6,0.298,0,0
123,3,0.315,1,0
124,0,0.302,0,0
125,0,0.291,1,0
126,15,0.274,1,0
127,18,0.235,1,0.116
128,9,0.249,0,0.351
129,14.5,0.267,0,0.55
130,7.5,0.256,0,0.677
131,22.5,0.253,0,0.741
132,45,0.262,0,0.731
133,20,0.285,1,0.68
134,5,0.326,1,0.568
135,22.5,0.367,0,0.351
136,25,0.386,1,0.128
137,2.5,0.403,1,0.001
138,32,0.408,1,0
139,20.5,0.404,1,0
140,17.5,0.391,1,0
141,15,0.382,0,0
142,18,0.374,1,0
143,12,0.377,1,0
144,0,0.397,1,0
145,0,0.399,0,0
146,0,0.404,1,0
147,0,0.404,1,0
148,0,0.395,1,0
149,0,0.393,1,0
150,9,0.391,1,0
151,15,0.379,0,0.097
152,11.5,0.419,1,0.317
153,7.5,0.461,1,0.498
154,10,0.511,0,0.626
155,5,0.57,1,0.692
156,0,0.616,1,0.726
157,5,0.638,1,0.674
158,25,0.652,1,0.564
159,40,0.654,0,0.383
160,40,0.639,1,0.15
161,60,0.584,1,0.002
162,55,0.527,1,0
163,46,0.507,1,0
164,24,0.494,0,0
165,12,0.498,1,0
166,18,0.493,1,0
167,12,0.498,0,0
0,2.5,0.847,1,0
1,2.5,0.794,1,0
2,0,0.752,1,0
3,0,0.718,1,0
4,0,0.689,1,0
5,0,0.664,1,0
6,21,0.649,1,0
7,24,0.627,1,0.122
8,11,0.628,1,0.359
9,7.5,0.651,0,0.556
10,5,0.71,0,0.678
11,20,0.805,1,0.739
12,20,0.891,1,0.735
13,0,0.941,1,0.681
14,32,0.966,0,0.567
15,40,0.972,1,0.364
16,20,0.972,1,0.139
17,0,0.97,1,0.001
18,32,0.971,1,0
19,70,0.971,1,0
20,37.5,0.977,1,0
21,20.5,0.982,1,0
22,24,0.983,1,0
23,0,0.984,1,0
24,0,0.983,1,0
25,0,0.98,1,0
26,0,0.975,1,0
27,0,0.968,1,0
28,0,0.961,1,0
29,0,0.948,0,0
30,18,0.934,1,0
31,21,0.933,1,0.128
32,12,0.948,1,0.381
33,0,0.962,1,0.574
34,0,0.968,0,0.696
35,0,0.973,1,0.757
36,27.5,0.972,1,0.736
37,30,0.965,1,0.683
38,5,0.954,1,0.57
39,10,0.943,1,0.39
40,22.5,0.924,1,0.155
41,62.5,0.889,1,0.002
42,11.5,0.847,1,0
43,58,0.82,0,0
44,36,0.807,0,0
45,30,0.803,1,0
46,15,0.797,1,0
47,0,0.8,1,0
48,3,0.82,1,0
49,6,0.827,0,0
50,3,0.832,1,0
51,6,0.835,1,0
52,0,0.836,1,0
53,0,0.822,1,0
54,15,0.797,1,0
55,20.5,0.783,1,0.136
56,11.5,0.83,1,0.387
57,0,0.856,1,0.581
58,2.5,0.849,0,0.701
59,10,0.84,0,0.758
60,45,0.829,1,0.754
61,0,0.817,1,0.7
62,2.5,0.808,0,0.586
63,66,0.801,1,0.402
64,72,0.783,1,0.165
65,2.5,0.75,1,0.003
66,20,0.724,1,0
67,29.5,0.713,1,0
68,29,0.705,1,0
69,24,0.697,0,0
70,24,0.674,1,0
71,0,0.64,1,0
72,0,0.605,1,0
73,0,0.575,1,0
74,0,0.554,1,0
75,0,0.533,0,0
76,0,0.515,0,0
77,0,0.459,0,0
78,6,0.413,1,0
79,23.5,0.391,1,0.126
80,17,0.49,1,0.367
81,0,0.541,0,0.554
82,0,0.521,1,0.672
83,5,0.492,1,0.733
84,14.5,0.465,1,0.734
85,20,0.443,0,0.676
86,0,0.428,1,0.563
87,45,0.41,1,0.39
88,85,0.38,1,0.155
89,60,0.35,1,0.001
90,40,0.341,1,0
91,40,0.315,0,0
92,33,0.294,1,0
93,21,0.271,1,0
94,21,0.264,1,0
95,0,0.26,1,0
96,0,0.26,0,0
97,0,0.263,1,0
98,0,0.265,1,0
99,3,0.271,1,0
100,3,0.275,1,0
101,0,0.268,0,0
102,12,0.262,1,0
103,32,0.256,0,0.104
104,23,0.335,1,0.339
105,0,0.395,1,0.575
106,0,0.409,1,0.697
107,0,0.425,1,0.757
108,25,0.451,1,0.766
109,11,0.482,0,0.717
110,12,0.513,1,0.607
111,62.5,0.52,1,0.437
112,85,0.475,0,0.196
113,65,0.389,1,0.005
114,20,0.342,0,0
115,14.5,0.318,1,0
116,15,0.284,0,0
117,21,0.257,1,0
118,24,0.243,1,0
119,0,0.288,1,0
120,0,0.307,1,0
121,0,0.307,1,0
122,3,0.298,0,0
123,6,0.315,1,0
124,6,0.302,1,0
125,0,0.291,1,0
126,15,0.274,1,0
127,24,0.235,0,0.155
128,17,0.249,1,0.412
129,8.5,0.267,1,0.604
130,11,0.256,1,0.724
131,2.5,0.253,0,0.783
132,0,0.262,1,0.782
133,5,0.285,0,0.732
134,5,0.326,1,0.624
135,20,0.367,1,0.443
136,80,0.386,0,0.201
137,62.5,0.403,1,0.005
138,14,0.408,1,0
139,63,0.404,1,0
140,46.5,0.391,0,0
141,24,0.382,1,0
142,24,0.374,1,0
143,12,0.377,1,0
144,6,0.397,1,0
145,3,0.399,0,0
146,0,0.404,1,0
147,0,0.404,1,0
148,6,0.395,1,0
149,0,0.393,1,0
150,6,0.391,1,0
151,15,0.379,1,0.108
152,12,0.419,1,0.386
153,2.5,0.461,1,0.545
