Demand;SolarPV;Wind
0;0;0.643
0;0;0.685
0;0;0.701
0;0;0.7
0;0;0.689
0;0;0.675
0;0.36;0.658
0;0.496;0.634
0;0.592;0.592
0;0.634;0.545
0;0.655;0.548
0;0.575;0.562
0;0.465;0.582
0;0.298;0.598
0;0.104;0.614
0;0;0.633
1.2516;0;0.64
5.0958;0;0.637
6.4368;0;0.634
6.9732;0;0.636
5.9898;0;0.638
4.47;0;0.643
3.7548;0;0.648
0;0;0.67
0;0;0.713
0;0;0.701
0;0;0.669
0;0;0.626
0;0.048;0.572
0;0.252;0.516
0;0.462;0.465
0;0.598;0.414
0;0.69;0.357
0;0.725;0.319
0;0.712;0.302
0;0.653;0.289
0;0.539;0.285
0;0.349;0.282
0;0.143;0.267
0;0.001;0.251
1.2516;0;0.233
5.0958;0;0.217
6.4368;0;0.208
6.9732;0;0.209
5.9898;0;0.216
4.47;0;0.206
3.7548;0;0.189
0;0;0.185
0;0;0.209
0;0;0.221
0;0;0.226
0;0;0.231
0;0.037;0.229
0;0.219;0.226
0;0.42;0.226
0;0.541;0.219
0;0.581;0.192
0;0.618;0.167
0;0.612;0.154
0;0.551;0.142
0;0.437;0.129
0;0.29;0.122
0;0.113;0.115
0;0.001;0.115
1.2516;0;0.116
5.0958;0;0.112
6.4368;0;0.106
6.9732;0;0.105
5.9898;0;0.109
4.47;0;0.104
3.7548;0;0.101
0;0;0.102
0;0;0.123
0;0;0.138
0;0;0.141
0;0;0.152
0;0.029;0.161
0;0.172;0.162
0;0.323;0.162
0;0.457;0.164
0;0.506;0.167
0;0.54;0.165
0;0.537;0.169
0;0.469;0.174
0;0.353;0.173
0;0.205;0.168
0;0.076;0.166
0;0;0.166
1.2516;0;0.17
5.0958;0;0.178
6.4368;0;0.198
6.9732;0;0.223
5.9898;0;0.255
4.47;0;0.302
3.7548;0;0.361
0;0;0.413
0;0;0.493
0;0;0.538
0;0;0.561
0;0;0.595
0;0.02;0.627
0;0.147;0.65
0;0.302;0.663
0;0.441;0.656
0;0.507;0.634
0;0.55;0.584
0;0.543;0.577
0;0.447;0.605
0;0.362;0.634
0;0.247;0.668
0;0.099;0.699
0;0;0.729
1.2516;0;0.748
5.0958;0;0.753
6.4368;0;0.748
6.9732;0;0.743
5.9898;0;0.745
4.47;0;0.743
3.7548;0;0.749
0;0;0.822
0;0;0.875
0;0;0.887
0;0;0.879
0;0;0.869
0;0.036;0.859
0;0.208;0.848
0;0.368;0.833
0;0.531;0.809
0;0.592;0.761
0;0.631;0.677
0;0.591;0.633
0;0.563;0.621
0;0.448;0.632
0;0.294;0.661
0;0.106;0.706
0;0.001;0.735
1.2516;0;0.751
5.0958;0;0.752
6.4368;0;0.765
6.9732;0;0.769
5.9898;0;0.769
4.47;0;0.767
3.7548;0;0.756
0;0;0.79
0;0;0.851
0;0;0.87
0;0;0.875
0;0;0.871
0;0.044;0.86
0;0.243;0.841
0;0.428;0.813
0;0.554;0.777
0;0.631;0.727
0;0.633;0.655
0;0.615;0.628
0;0.562;0.626
0;0.437;0.628
0;0.275;0.638
0;0.099;0.65
0;0;0.668
1.2516;0;0.689
5.0958;0;0.694
6.4368;0;0.696
6.9732;0;0.691
5.9898;0;0.686
4.47;0;0.708
3.7548;0;0.73
0;0;0.789
0;0;0.852
0;0;0.872
0;0;0.872
0;0;0.857
0;0.019;0.836
0;0.14;0.811
0;0.291;0.79
0;0.412;0.761
0;0.473;0.708
0;0.501;0.665
0;0.478;0.679
0;0.425;0.695
0;0.34;0.704
0;0.212;0.714
0;0.076;0.721
0;0;0.722
1.2516;0;0.728
5.0958;0;0.701
6.4368;0;0.697
6.9732;0;0.685
5.9898;0;0.68
4.47;0;0.701
3.7548;0;0.744
0;0;0.805
0;0;0.868
0;0;0.888
0;0;0.895
0;0;0.887
0;0.026;0.864
0;0.184;0.841
0;0.411;0.826
0;0.574;0.816
0;0.668;0.792
0;0.71;0.782
0;0.697;0.789
0;0.639;0.805
0;0.527;0.819
0;0.332;0.823
0;0.108;0.812
0;0;0.795
1.2516;0;0.796
5.0958;0;0.803
6.4368;0;0.821
6.9732;0;0.846
5.9898;0;0.864
4.47;0;0.878
3.7548;0;0.891
0;0;0.909
0;0;0.912
0;0;0.899
0;0;0.894
0;0;0.894
0;0.033;0.897
0;0.222;0.901
0;0.423;0.905
0;0.568;0.912
0;0.646;0.916
0;0.699;0.914
0;0.677;0.914
0;0.615;0.916
0;0.498;0.916
0;0.31;0.915
0;0.113;0.916
0;0.001;0.916
1.2516;0;0.915
5.0958;0;0.915
6.4368;0;0.915
6.9732;0;0.915
5.9898;0;0.916
4.47;0;0.916
3.7548;0;0.916
0;0;0.909
0;0;0.874
0;0;0.85
0;0;0.846
0;0;0.845
0;0.027;0.856
0;0.169;0.877
0;0.323;0.895
0;0.436;0.905
0;0.451;0.912
0;0.442;0.915
0;0.376;0.916
0;0.281;0.916
0;0.178;0.916
0;0.135;0.916
0;0.056;0.916
0;0;0.916
1.2516;0;0.915
5.0958;0;0.911
6.4368;0;0.9
6.9732;0;0.889
5.9898;0;0.879
4.47;0;0.882
3.7548;0;0.892
0;0;0.904
0;0;0.916
0;0;0.909
0;0;0.894
0;0;0.898
0;0.009;0.908
0;0.072;0.914
0;0.152;0.913
0;0.254;0.915
0;0.326;0.904
0;0.401;0.894
0;0.349;0.901
0;0.263;0.906
0;0.192;0.909
0;0.122;0.909
0;0.041;0.91
0;0;0.911
1.2516;0;0.91
5.0958;0;0.9
6.4368;0;0.897
6.9732;0;0.906
5.9898;0;0.914
4.47;0;0.915
3.7548;0;0.914
0;0;0.914
0;0;0.916
0;0;0.914
0;0;0.915
0;0;0.914
0;0.016;0.911
0;0.104;0.911
0;0.204;0.916
0;0.289;0.911
0;0.339;0.899
0;0.356;0.895
0;0.326;0.888
0;0.252;0.867
0;0.175;0.843
0;0.088;0.853
0;0.024;0.863
0;0;0.879
1.2516;0;0.873
5.0958;0;0.846
6.4368;0;0.814
6.9732;0;0.772
5.9898;0;0.717
4.47;0;0.687
3.7548;0;0.658
0;0;0.633
0;0;0.641
0;0;0.669
0;0;0.701
0;0;0.689
0;0.002;0.65
0;0.028;0.632
0;0.058;0.623
0;0.083;0.603
0;0.11;0.591
0;0.15;0.608
0;0.188;0.655
