,power,Wind,GridAvailability,SolarGen
13,15.5,0.941,1,0.654
14,30.0,0.966,1,0.532
15,12.0,0.972,1,0.305
16,7.0,0.972,0,0.098
17,6.0,0.97,1,0.0
18,10.5,0.971,1,0.0
19,9.5,0.971,1,0.0
20,14.0,0.977,1,0.0
21,8.0,0.982,1,0.0
22,8.0,0.983,1,0.0
23,0.0,0.9840000000000001,0,0.0
24,0.0,0.983,0,0.0
25,0.0,0.98,1,0.0
26,2.0,0.975,1,0.0
27,0.0,0.968,1,0.0
28,2.0,0.961,1,0.0
29,2.0,0.948,0,0.0
30,5.0,0.934,1,0.0
31,4.0,0.9329999999999999,0,0.076
32,3.0,0.948,1,0.301
33,2.0,0.9620000000000001,0,0.509
34,2.0,0.968,0,0.6409999999999999
35,0.0,0.973,1,0.706
36,16.5,0.972,1,0.698
37,18.0,0.965,1,0.645
38,18.0,0.9540000000000001,1,0.527
39,3.0,0.943,1,0.342
40,12.0,0.924,0,0.11900000000000001
41,12.0,0.889,1,0.0
42,13.0,0.847,1,0.0
43,13.0,0.82,0,0.0
44,7.5,0.807,1,0.0
45,6.0,0.8029999999999999,1,0.0
46,8.0,0.797,1,0.0
47,0.0,0.8,0,0.0
48,0.0,0.82,1,0.0
49,0.0,0.8270000000000001,1,0.0
50,0.0,0.8320000000000001,0,0.0
51,0.0,0.835,1,0.0
52,0.0,0.836,1,0.0
53,0.0,0.8220000000000001,1,0.0
54,6.0,0.797,1,0.0
55,8.0,0.7829999999999999,0,0.081
56,7.0,0.83,1,0.298
57,1.5,0.856,1,0.47
58,0.0,0.8490000000000001,1,0.551
59,1.5,0.84,1,0.564
60,10.5,0.8290000000000001,0,0.5770000000000001
61,15.0,0.8170000000000001,0,0.52
62,0.0,0.8079999999999999,1,0.368
63,1.5,0.8009999999999999,0,0.212
64,6.0,0.7829999999999999,1,0.08800000000000001
65,16.5,0.75,1,0.0
66,19.0,0.7240000000000001,1,0.0
67,16.0,0.713,1,0.0
68,7.5,0.705,1,0.0
69,13.5,0.6970000000000001,0,0.0
70,8.0,0.674,1,0.0
71,0.0,0.64,1,0.0
72,2.0,0.605,1,0.0
73,2.0,0.575,1,0.0
74,0.0,0.5539999999999999,1,0.0
75,0.0,0.5329999999999999,0,0.0
76,0.0,0.515,1,0.0
77,0.0,0.45899999999999996,1,0.0
78,5.0,0.413,1,0.0
79,8.0,0.391,1,0.09300000000000001
80,7.0,0.49,1,0.27899999999999997
81,0.0,0.541,0,0.38299999999999995
82,1.5,0.521,0,0.3
83,3.0,0.49200000000000005,1,0.24100000000000002
84,7.5,0.465,0,0.26899999999999996
85,15.0,0.44299999999999995,1,0.52
86,19.5,0.428,1,0.19899999999999998
87,15.0,0.41,1,0.07400000000000001
