,Unnamed: 0,Wind,GridAvailability,SolarGen,GridUnavailability,Demand AC,Demand DC
0,0,0.847,1,0.0,0,75.0,0.0
1,1,0.794,1,0.0,0,80.5,0.0
2,2,0.752,1,0.0,0,91.5,0.0
3,3,0.718,1,0.0,0,81.0,0.0
4,4,0.6890000000000001,1,0.0,0,81.0,0.0
5,5,0.664,1,0.0,0,78.0,0.0
6,6,0.649,1,0.0,0,84.0,0.0
7,7,0.627,0,0.105,1,0.0,105.0
8,8,0.628,1,0.355,0,123.0,0.0
9,9,0.6509999999999999,0,0.546,1,0.0,114.0
10,10,0.71,1,0.665,0,125.0,0.0
11,11,0.805,1,0.722,0,120.5,0.0
12,12,0.8909999999999999,1,0.723,0,129.0,0.0
13,13,0.941,1,0.669,0,160.0,0.0
14,14,0.966,0,0.555,1,0.0,135.0
15,15,0.972,0,0.366,1,0.0,437.0
16,16,0.972,1,0.135,0,395.0,0.0
17,17,0.97,0,0.0,1,0.0,125.0
18,18,0.971,1,0.0,0,99.0,0.0
19,19,0.971,1,0.0,0,607.5,0.0
20,20,0.977,0,0.0,1,0.0,430.0
21,21,0.982,0,0.0,1,0.0,84.5
22,22,0.983,1,0.0,0,111.0,0.0
23,23,0.984,1,0.0,0,105.0,0.0
24,24,0.983,0,0.0,1,0.0,75.0
25,25,0.98,1,0.0,0,81.0,0.0
26,26,0.975,1,0.0,0,81.0,0.0
27,27,0.968,1,0.0,0,84.0,0.0
28,28,0.961,0,0.0,1,0.0,87.0
29,29,0.948,0,0.0,1,0.0,81.0
30,30,0.934,1,0.0,0,355.0,0.0
31,31,0.933,1,0.113,0,358.0,0.0
32,32,0.948,1,0.373,0,104.0,0.0
33,33,0.962,1,0.5660000000000001,0,103.0,0.0
34,34,0.968,0,0.6890000000000001,1,0.0,98.0
35,35,0.973,0,0.748,1,0.0,104.5
36,36,0.972,0,0.733,1,0.0,127.0
37,37,0.965,1,0.6829999999999999,0,128.5,0.0
38,38,0.954,1,0.573,0,162.5,0.0
39,39,0.943,1,0.395,0,196.0,0.0
40,40,0.924,1,0.156,0,173.0,0.0
41,41,0.889,1,0.0,0,184.5,0.0
42,42,0.847,1,0.0,0,185.0,0.0
43,43,0.82,0,0.0,1,0.0,347.0
44,44,0.807,1,0.0,0,198.5,0.0
45,45,0.8029999999999999,1,0.0,0,342.5,0.0
46,46,0.797,1,0.0,0,126.0,0.0
47,47,0.8,1,0.0,0,117.0,0.0
48,48,0.82,1,0.0,0,100.5,0.0
49,49,0.8270000000000001,1,0.0,0,86.0,0.0
50,50,0.8320000000000001,1,0.0,0,80.0,0.0
51,51,0.835,0,0.0,1,0.0,75.0
52,52,0.836,1,0.0,0,75.0,0.0
53,53,0.8220000000000001,1,0.0,0,84.0,0.0
54,54,0.797,1,0.0,0,84.0,0.0
55,55,0.7829999999999999,1,0.097,0,98.0,0.0
56,56,0.83,1,0.349,0,112.0,0.0
57,57,0.856,1,0.53,0,121.5,0.0
58,58,0.8490000000000001,1,0.665,0,131.5,0.0
59,59,0.84,1,0.731,0,114.0,0.0
60,60,0.8290000000000001,1,0.74,0,93.0,0.0
61,61,0.8170000000000001,1,0.685,0,92.0,0.0
62,62,0.8079999999999999,1,0.563,0,152.0,0.0
63,63,0.8009999999999999,1,0.33,0,408.0,0.0
64,64,0.7829999999999999,1,0.11,0,428.0,0.0
65,65,0.75,0,0.0,1,0.0,182.0
66,66,0.7240000000000001,1,0.0,0,168.0,0.0
67,67,0.713,1,0.0,0,559.0,0.0
68,68,0.705,1,0.0,0,194.0,0.0
69,69,0.6970000000000001,1,0.0,0,134.0,0.0
70,70,0.674,1,0.0,0,114.0,0.0
71,71,0.64,1,0.0,0,99.0,0.0
72,72,0.605,1,0.0,0,87.0,0.0
73,73,0.575,1,0.0,0,103.0,0.0
74,74,0.5539999999999999,1,0.0,0,88.5,0.0
75,75,0.5329999999999999,0,0.0,1,0.0,75.0
76,76,0.515,1,0.0,0,75.0,0.0
77,77,0.459,1,0.0,0,78.0,0.0
78,78,0.413,1,0.0,0,81.0,0.0
79,79,0.391,1,0.066,0,98.0,0.0
80,80,0.49,0,0.28,1,0.0,504.5
81,81,0.541,0,0.485,1,0.0,93.0
82,82,0.521,1,0.62,0,105.0,0.0
83,83,0.4920000000000001,1,0.687,0,142.0,0.0
84,84,0.465,1,0.6779999999999999,0,161.0,0.0
85,85,0.443,1,0.627,0,126.0,0.0
86,86,0.428,1,0.512,0,660.0,0.0
87,87,0.41,1,0.311,0,411.0,0.0
88,88,0.38,1,0.105,0,136.0,0.0
89,89,0.35,1,0.0,0,139.0,0.0
90,90,0.341,1,0.0,0,182.0,0.0
91,91,0.315,0,0.0,1,0.0,443.0
92,92,0.294,1,0.0,0,240.5,0.0
93,93,0.271,1,0.0,0,139.5,0.0
94,94,0.264,1,0.0,0,93.0,0.0
95,95,0.26,1,0.0,0,96.0,0.0
96,96,0.26,1,0.0,0,75.0,0.0
97,97,0.263,1,0.0,0,83.0,0.0
98,98,0.265,1,0.0,0,81.0,0.0
99,99,0.271,1,0.0,0,78.0,0.0
100,100,0.275,1,0.0,0,81.0,0.0
101,101,0.268,1,0.0,0,81.0,0.0
102,102,0.262,1,0.0,0,96.0,0.0
103,103,0.256,1,0.073,0,100.5,0.0
104,104,0.335,1,0.29600000000000004,0,127.0,0.0
105,105,0.395,1,0.461,0,137.0,0.0
106,106,0.409,1,0.5870000000000001,0,140.0,0.0
107,107,0.425,1,0.616,0,108.0,0.0
108,108,0.451,1,0.6,0,139.0,0.0
109,109,0.482,1,0.552,0,172.0,0.0
110,110,0.513,1,0.44,0,669.5,0.0
111,111,0.52,1,0.308,0,390.5,0.0
112,112,0.475,1,0.101,0,141.5,0.0
113,113,0.389,1,0.0,0,144.5,0.0
114,114,0.342,1,0.0,0,153.0,0.0
115,115,0.318,1,0.0,0,381.0,0.0
116,116,0.284,1,0.0,0,379.0,0.0
117,117,0.257,0,0.0,1,0.0,131.0
118,118,0.243,0,0.0,1,0.0,108.0
