,Stored capacity,Storage discharge,Storage charge
2018-01-01 00:00:00,0.24687061,-0.0,0.0
2018-01-01 01:00:00,0.24687061,-0.0,0.0
2018-01-01 02:00:00,0.24687061,-0.0,0.0
2018-01-01 03:00:00,0.24687061,-0.0,0.0
2018-01-01 04:00:00,0.24687061,-0.0,0.0
2018-01-01 05:00:00,0.24687061,-0.0,0.0
2018-01-01 06:00:00,0.24687061,-0.0,0.0
2018-01-01 07:00:00,0.24687061,-0.0,0.0
2018-01-01 08:00:00,0.24687061,-0.0,0.0
2018-01-01 09:00:00,0.24687061,-0.0,0.0
2018-01-01 10:00:00,0.24687061,-0.0,0.0
2018-01-01 11:00:00,0.24687061,-0.0,0.0
2018-01-01 12:00:00,0.24687061,-0.0,0.0
2018-01-01 13:00:00,0.24687061,-0.0,0.0
2018-01-01 14:00:00,0.24687061,-0.0,0.0
2018-01-01 15:00:00,0.24687061,-0.0,0.0
2018-01-01 16:00:00,0.43820262,-0.0,0.21259112
2018-01-01 17:00:00,1.2343531,-0.0,0.8846116
2018-01-01 18:00:00,0.74979945,-0.48455361,0.0
2018-01-01 19:00:00,0.24687061,-0.50292884,0.0
2018-01-01 20:00:00,0.24687061,-0.0,0.0
2018-01-01 21:00:00,0.24687061,-0.0,0.0
2018-01-01 22:00:00,0.24687061,-0.0,0.0
2018-01-01 23:00:00,0.24687061,-0.0,0.0
2018-01-02 00:00:00,0.24687061,-0.0,0.0
2018-01-02 01:00:00,0.24687061,-0.0,0.0
2018-01-02 02:00:00,0.24687061,-0.0,0.0
2018-01-02 03:00:00,0.24687061,-0.0,0.0
2018-01-02 04:00:00,0.24687061,-0.0,0.0
2018-01-02 05:00:00,0.24687061,-0.0,0.0
2018-01-02 06:00:00,0.24687061,-0.0,0.0
2018-01-02 07:00:00,0.24687061,-0.0,0.0
2018-01-02 08:00:00,0.24687061,-0.0,0.0
2018-01-02 09:00:00,0.24687061,-0.0,0.0
2018-01-02 10:00:00,0.24687061,-0.0,0.0
2018-01-02 11:00:00,0.24687061,-0.0,0.0
2018-01-02 12:00:00,0.24687061,-0.0,0.0
2018-01-02 13:00:00,0.24687061,-0.0,5.7620922e-20
2018-01-02 14:00:00,0.24687061,-0.0,0.0
2018-01-02 15:00:00,0.39204531,-0.0,0.16130522
2018-01-02 16:00:00,1.2343531,-0.0,0.93589749
2018-01-02 17:00:00,0.30165125,-0.93270181,0.0
2018-01-02 18:00:00,0.30165125,-0.0,0.0
2018-01-02 19:00:00,0.24687061,-0.054780636,0.0
2018-01-02 20:00:00,0.24687061,-0.0,0.0
2018-01-02 21:00:00,0.24687061,1.2904341e-17,0.0
2018-01-02 22:00:00,0.24687061,-0.0,0.0
2018-01-02 23:00:00,0.24687061,-0.0,0.0
2018-01-03 00:00:00,0.24687061,-0.0,0.0
2018-01-03 01:00:00,0.24687061,-0.0,0.0
2018-01-03 02:00:00,0.24687061,-0.0,0.0
2018-01-03 03:00:00,0.24687061,-0.0,0.0
2018-01-03 04:00:00,0.24687061,-0.0,0.0
2018-01-03 05:00:00,0.24687061,-0.0,4.2015331e-17
2018-01-03 06:00:00,0.24687061,-0.0,0.0
2018-01-03 07:00:00,0.24687061,-0.0,-1.3708712e-17
2018-01-03 08:00:00,0.24687061,-0.0,0.0
2018-01-03 09:00:00,0.24687061,-0.0,1.7822317e-17
2018-01-03 10:00:00,0.24687061,-0.0,6.059479e-18
2018-01-03 11:00:00,0.24687061,-0.0,0.0
2018-01-03 12:00:00,0.24687061,-0.0,1.6302572e-17
2018-01-03 13:00:00,0.24687061,-0.0,-1.7482691e-17
2018-01-03 14:00:00,0.26265353,-0.0,0.017536573
2018-01-03 15:00:00,1.2343531,-0.0,1.0796661
2018-01-03 16:00:00,1.2343531,-0.0,0.0
2018-01-03 17:00:00,1.2343531,-0.0,-3.1879098e-17
2018-01-03 18:00:00,0.74896709,-0.48538597,0.0
2018-01-03 19:00:00,0.24687061,-0.50209648,0.0
2018-01-03 20:00:00,0.24687061,-0.0,0.0
2018-01-03 21:00:00,0.24687061,-0.0,0.0
2018-01-03 22:00:00,0.24687061,-0.0,0.0
2018-01-03 23:00:00,0.24687061,-0.0,0.0
