,Demand,Demand shortage,Demand supplied,PV generation,Wind generation,Storage discharge,Storage charge,Genset generation,Excess generation
2018-01-01 00:00:00,14327.57981,-0.0,14327.57981,0.0,30168.347,-0.0,0.0,0.0,15840.767
2018-01-01 01:00:00,11381.09166,-0.0,11381.09166,0.0,35144.569,-0.0,0.0,0.0,23763.477
2018-01-01 02:00:00,10076.53965,-0.0,10076.53965,0.0,36906.981,-0.0,0.0,0.0,26830.441
2018-01-01 03:00:00,9739.155509999999,-0.0,9739.155509999999,0.0,37166.159,-0.0,0.0,0.0,27427.004
2018-01-01 04:00:00,9581.709578,-0.0,9581.709578,0.0,36751.474,-0.0,0.0,0.0,27169.765
2018-01-01 05:00:00,9761.647786,-0.0,9761.647786,0.0,36077.611,-0.0,0.0,0.0,26315.963
2018-01-01 06:00:00,9626.69413,-0.0,9626.69413,5474.0447,34678.048,-0.0,0.0,0.0,30525.399
2018-01-01 07:00:00,9604.201854,-0.0,9604.201854,7767.518,33019.307,-0.0,0.0,0.0,31182.624
2018-01-01 08:00:00,9806.632338,-0.0,9806.632338,9065.7104,31360.567,-0.0,0.0,0.0,30619.645
2018-01-01 09:00:00,10031.5551,-0.0,10031.5551,8870.9815,29857.333,-0.0,0.0,0.0,28696.759
2018-01-01 10:00:00,10548.87745,-0.0,10548.87745,8459.8873,28716.949,-0.0,0.0,0.0,26627.959
2018-01-01 11:00:00,11021.215240000001,-0.0,11021.215240000001,6945.3294,28405.935,-0.0,0.0,0.0,24330.049
2018-01-01 12:00:00,11066.19979,-0.0,11066.19979,4998.0408,27939.414,-0.0,0.0,0.0,21871.255
2018-01-01 13:00:00,10908.753859999999,-0.0,10908.753859999999,3094.0253,27317.386,-0.0,0.0,0.0,19502.658
2018-01-01 14:00:00,10683.8311,-0.0,10683.8311,1146.7366,26799.03,-0.0,0.0,0.0,17261.935
2018-01-01 15:00:00,10683.8311,-0.0,10683.8311,0.0,27317.386,-0.0,0.0,0.0,16633.555
2018-01-01 16:00:00,12078.35221,-0.0,12078.35221,0.0,28250.428,-0.0,0.0,0.0,16172.076
2018-01-01 17:00:00,14574.99485,-0.0,14574.99485,0.0,29546.319,-0.0,0.0,0.0,14971.324
2018-01-01 18:00:00,16644.28424,-0.0,16644.28424,0.0,30997.717,-0.0,0.0,0.0,14353.433
2018-01-01 19:00:00,14372.564369999998,-0.0,14372.564369999998,0.0,31982.595,-0.0,0.0,0.0,17610.03
2018-01-01 20:00:00,14462.533469999998,-0.0,14462.533469999998,0.0,32449.115,-0.0,0.0,0.0,17986.582
2018-01-01 21:00:00,12325.76725,-0.0,12325.76725,0.0,32708.294,-0.0,0.0,0.0,20382.526
2018-01-01 22:00:00,11021.215240000001,-0.0,11021.215240000001,0.0,32863.801,-0.0,0.0,0.0,21842.585
2018-01-01 23:00:00,10256.477859999999,-0.0,10256.477859999999,0.0,32863.801,-0.0,0.0,0.0,22607.323
2018-01-02 00:00:00,9356.786818,-0.0,9356.786818,0.0,36440.46,-0.0,0.0,0.0,27083.673
2018-01-02 01:00:00,8996.910402,-0.0,8996.910402,0.0,38980.407,-0.0,0.0,0.0,29983.497
2018-01-02 02:00:00,8929.433573999999,-0.0,8929.433573999999,0.0,38617.557,-0.0,0.0,0.0,29688.124
2018-01-02 03:00:00,8547.064881999999,-0.0,8547.064881999999,0.0,36544.132,-0.0,0.0,0.0,27997.067
