timestep,Demand,Demand shortage,Demand supplied,PV generation,Consumption from main grid,Storage SOC,Grid availability,Excess generation
2018-01-01 00:00:00,0.0,-0.0,0.0,0.0,0.0,0,1,-0.0
2018-01-01 01:00:00,0.0,-0.0,0.0,0.0,0.0,0,1,-0.0
2018-01-01 02:00:00,0.0,-0.0,0.0,0.0,0.0,0,0,-0.0
2018-01-01 03:00:00,0.0,-0.0,0.0,0.0,0.0,0,0,-0.0
2018-01-01 04:00:00,0.0,-0.0,0.0,0.0,0.0,0,1,-0.0
2018-01-01 05:00:00,0.0,-0.0,0.0,0.0,0.0,0,1,-0.0
2018-01-01 06:00:00,4.0,-0.0,4.0,0.31712474,3.6828753,0,1,0.0
2018-01-01 07:00:00,4.0,-2.1353066,1.8646934000000002,1.8646934,0.0,0,1,0.0
2018-01-01 08:00:00,3.0,-0.0,3.0,4.756871,0.0,0,1,1.756871
2018-01-01 09:00:00,3.0,-0.0,3.0,7.4207188,0.0,0,1,4.4207188
2018-01-01 10:00:00,0.0,-0.0,0.0,8.2452431,0.0,0,1,8.2452431
2018-01-01 11:00:00,6.0,-0.0,6.0,8.0422833,0.0,0,1,2.0422833
2018-01-01 12:00:00,6.0,-0.0,6.0,6.3424947,0.0,0,1,0.34249471
2018-01-01 13:00:00,0.0,-0.0,0.0,4.4651163,0.0,0,1,4.4651163
2018-01-01 14:00:00,3.0,-0.0,3.0,4.1099366,0.0,0,1,1.1099366
2018-01-01 15:00:00,6.0,-0.0,6.0,1.7251586,4.2748414,0,1,0.0
2018-01-01 16:00:00,3.0,-0.0,3.0,0.0,3.0,0,0,0.0
2018-01-01 17:00:00,6.0,-6.0,0.0,0.0,0.0,0,1,0.0
2018-01-01 18:00:00,9.0,-9.0,0.0,0.0,0.0,0,1,0.0
2018-01-01 19:00:00,6.0,-0.0,6.0,0.0,6.0,0,0,0.0
2018-01-01 20:00:00,4.0,-0.0,4.0,0.0,4.0,0,1,0.0
2018-01-01 21:00:00,4.0,-4.0,0.0,0.0,0.0,0,1,0.0
2018-01-01 22:00:00,16.0,-0.0,16.0,0.0,16.0,0,1,0.0
2018-01-01 23:00:00,16.0,-0.0,16.0,0.0,16.0,0,1,0.0
2018-01-02 00:00:00,0.0,-0.0,0.0,0.0,0.0,0,1,-0.0
2018-01-02 01:00:00,0.0,-0.0,0.0,0.0,0.0,0,0,-0.0
2018-01-02 02:00:00,0.0,-0.0,0.0,0.0,0.0,0,1,-0.0
2018-01-02 03:00:00,0.0,-0.0,0.0,0.0,0.0,0,1,-0.0
