timestep,Demand supply,PV generation,GenSet,Discharge storage,Charge storage,Excess electricity
2018-01-01 00:00:00,5.41078,0.0,5.41078,0.0,0.0,0.0
2018-01-01 01:00:00,5.41078,0.0,5.41078,0.0,0.0,0.0
2018-01-01 02:00:00,5.41078,0.0,5.41078,0.0,0.0,0.0
2018-01-01 03:00:00,5.41078,0.0,5.41078,0.0,0.0,0.0
2018-01-01 04:00:00,10.3633,0.0,5.622942,4.740358,0.0,0.0
2018-01-01 05:00:00,12.7843,0.0,5.622942,7.161358,0.0,0.0
2018-01-01 06:00:00,21.6117,8.9094876,5.622942,7.0792704,0.0,0.0
2018-01-01 07:00:00,17.5444,37.982552,0.0,0.0,0.0,20.438152
2018-01-01 08:00:00,18.1454,65.96147,0.0,0.0,5.4445084,42.371561
2018-01-01 09:00:00,18.1454,87.219194,0.0,0.0,69.073794,0.0
2018-01-01 10:00:00,21.7224,93.940387,0.0,0.0,72.217987,0.0
2018-01-01 11:00:00,21.7224,95.190841,0.0,0.0,73.468441,0.0
2018-01-01 12:00:00,21.7224,79.716468,0.0,0.0,57.994068,0.0
2018-01-01 13:00:00,20.9744,65.648856,0.0,0.0,44.674456,0.0
2018-01-01 14:00:00,21.9254,47.986188,0.0,0.0,26.060788,0.0
2018-01-01 15:00:00,23.8114,27.666304,0.0,0.0,3.8549036,0.0
2018-01-01 16:00:00,27.934,15.005453,0.0,12.928547,0.0,0.0
2018-01-01 17:00:00,39.211999999999996,5.470738,0.0,33.741262,0.0,0.0
2018-01-01 18:00:00,52.8735,0.0,0.0,52.8735,0.0,0.0
2018-01-01 19:00:00,59.108999999999995,0.0,0.0,59.109,0.0,0.0
2018-01-01 20:00:00,41.52458,0.0,0.0,41.52458,0.0,0.0
2018-01-01 21:00:00,23.793000000000003,0.0,0.0,23.793,0.0,0.0
2018-01-01 22:00:00,13.1637,0.0,0.0,13.1637,0.0,0.0
2018-01-01 23:00:00,6.0930599999999995,0.0,0.0,6.09306,0.0,0.0
2018-01-02 00:00:00,5.41078,0.0,0.0,5.41078,0.0,0.0
2018-01-02 01:00:00,5.41078,0.0,0.0,5.41078,0.0,0.0
2018-01-02 02:00:00,5.41078,0.0,0.0,5.41078,0.0,0.0
2018-01-02 03:00:00,5.41078,0.0,0.28000483,5.1307752,0.0,0.0
2018-01-02 04:00:00,10.3633,0.0,5.622942,4.740358,0.0,0.0
2018-01-02 05:00:00,12.7843,0.0,5.622942,7.161358,0.0,0.0
2018-01-02 06:00:00,21.6117,6.7211924,5.622942,9.2675656,0.0,0.0
2018-01-02 07:00:00,17.5444,27.197383,0.0,0.0,0.0,9.6529832
2018-01-02 08:00:00,18.1454,49.861869,0.0,0.0,11.853087,19.863382
2018-01-02 09:00:00,18.1454,65.96147,0.0,0.0,47.81607,0.0
2018-01-02 10:00:00,21.7224,75.808798,0.0,0.0,54.086398,0.0
2018-01-02 11:00:00,21.7224,82.842604,0.0,0.0,61.120204,0.0
2018-01-02 12:00:00,21.7224,84.249365,0.0,0.0,62.526965,0.0
2018-01-02 13:00:00,20.9744,79.716468,0.0,0.0,58.742068,0.0
2018-01-02 14:00:00,21.9254,60.334425,0.0,0.0,38.409025,0.0
