timestep,Demand,Demand shortage,Demand supplied,PV generation,Consumption from main grid,Storage discharge,Storage SOC,Storage charge,Grid availability,Excess generation
2018-01-01 00:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
2018-01-01 01:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
2018-01-01 02:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
2018-01-01 03:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
2018-01-01 04:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
2018-01-01 05:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
2018-01-01 06:00:00,4.0,-0.0,4.0,0.90029,3.09971,-0.0,0.2,0.0,1,0.0
2018-01-01 07:00:00,4.0,-0.0,4.0,5.2937052,0.0,-1.6,0.2,1.7777778,0,1.1159274
2018-01-01 08:00:00,3.0,-0.0,3.0,13.50435,0.0,-1.2,0.2731574222222222,10.478011,1,1.2263391
2018-01-01 09:00:00,3.0,-0.0,3.0,21.066786,0.0,-1.2,0.41662504,19.266786,0,0.0
2018-01-01 10:00:00,0.0,-0.0,0.0,23.40754,0.0,-0.0,0.6038853599999999,23.40754,1,0.0
2018-01-01 11:00:00,6.0,-0.0,6.0,22.831354,0.0,-2.4,0.7364028622222222,19.231354,1,0.0
2018-01-01 12:00:00,6.0,-0.0,6.0,18.0058,0.0,-2.4,0.8303159288888889,14.4058,1,0.0
2018-01-01 13:00:00,0.0,-0.0,0.0,12.676083,0.0,-0.0,0.9317246222222222,12.676083,1,0.0
2018-01-01 14:00:00,3.0,-0.0,3.0,11.667758,0.0,-1.2,1.0,9.8677584,0,0.0
2018-01-01 15:00:00,6.0,-0.0,6.0,4.8975776,0.0,-2.4,0.9890472888888889,1.2975776,0,0.0
2018-01-01 16:00:00,3.0,-0.0,3.0,0.0,0.0,-3.0,0.9623806222222222,0.0,1,0.0
2018-01-01 17:00:00,6.0,-0.0,6.0,0.0,0.0,-6.0,0.9090472888888889,0.0,0,0.0
2018-01-01 18:00:00,9.0,-0.0,9.0,0.0,0.0,-9.0,0.8290472888888889,0.0,1,0.0
2018-01-01 19:00:00,6.0,-0.0,6.0,0.0,0.0,-6.0,0.7757139555555556,0.0,1,0.0
2018-01-01 20:00:00,4.0,-0.0,4.0,0.0,0.0,-4.0,0.7401584,0.0,0,0.0
2018-01-01 21:00:00,4.0,-0.0,4.0,0.0,0.0,-4.0,0.7046028444444444,0.0,0,0.0
2018-01-01 22:00:00,16.0,-0.0,16.0,0.0,0.0,-16.0,0.5623806222222222,0.0,1,0.0
2018-01-01 23:00:00,16.0,-0.0,16.0,0.0,0.0,-16.0,0.4201584,0.0,1,0.0
2018-01-02 00:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.4201584,0.0,0,0.0
2018-01-02 01:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.4201584,0.0,1,0.0
2018-01-02 02:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.4201584,0.0,1,0.0
2018-01-02 03:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.4201584,0.0,1,0.0
2018-01-02 04:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.4201584,0.0,0,0.0
2018-01-02 05:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.4201584,0.0,0,0.0
2018-01-02 06:00:00,8.0,-0.0,8.0,1.7285568,0.0,-6.2714432,0.36441224,0.0,1,0.0
2018-01-02 07:00:00,10.0,-0.0,10.0,7.922552,0.0,-4.0,0.3442370933333333,1.922552,1,0.0
2018-01-02 08:00:00,3.0,-0.0,3.0,15.232907,0.0,-1.2,0.4410336888888889,13.432907,1,0.0
2018-01-02 09:00:00,6.0,-0.0,6.0,19.770368,0.0,-2.4,0.5490632977777777,16.170368,1,0.0
2018-01-02 10:00:00,6.0,-0.0,6.0,22.003088,0.0,-2.4,0.6749546666666667,18.403088,0,0.0
2018-01-02 11:00:00,6.0,-0.0,6.0,21.426902,0.0,-2.4,0.7962365511111111,17.826902,0,0.0
2018-01-02 12:00:00,6.0,-0.0,6.0,18.978113,0.0,-2.4,0.8979280888888889,15.378113,0,0.0
2018-01-02 13:00:00,3.0,-0.0,3.0,13.50435,0.0,-1.2,0.9808962666666667,11.70435,1,0.0
2018-01-02 14:00:00,9.0,-0.0,9.0,7.1302968,0.0,-3.6,0.9627386666666666,1.7302968,1,0.0
2018-01-02 15:00:00,24.0,-0.0,24.0,2.1967076,0.0,-21.803292,0.7689315911111111,0.0,1,0.0
2018-01-02 16:00:00,24.0,-0.0,24.0,0.0,0.0,-24.0,0.5555982577777778,0.0,1,0.0
2018-01-02 17:00:00,18.0,-0.0,18.0,0.0,5.9951962,-12.004804,0.4488888888888889,0.0,1,0.0
2018-01-02 18:00:00,25.0,-0.0,25.0,0.0,25.0,-0.0,0.4488888888888889,0.0,1,0.0
2018-01-02 19:00:00,28.0,-0.0,28.0,0.0,0.0,-28.0,0.2,0.0,0,0.0
2018-01-02 20:00:00,22.0,-0.0,22.0,0.0,22.0,-0.0,0.2,0.0,1,0.0
2018-01-02 21:00:00,6.0,-0.0,6.0,0.0,6.0,-0.0,0.2,0.0,1,0.0
2018-01-02 22:00:00,10.0,-0.0,10.0,0.0,10.0,-0.0,0.2,0.0,1,0.0
2018-01-02 23:00:00,22.0,-0.0,22.0,0.0,22.0,-0.0,0.2,0.0,1,0.0
2018-01-03 00:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
2018-01-03 01:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
2018-01-03 02:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
2018-01-03 03:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,0,0.0
2018-01-03 04:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
2018-01-03 05:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
2018-01-03 06:00:00,4.0,-0.0,4.0,1.4764756,2.5235244,-0.0,0.2,0.0,1,0.0
2018-01-03 07:00:00,4.0,-0.0,4.0,6.3380416,0.0,-1.6,0.21728210666666667,3.9380416,1,0.0
2018-01-03 08:00:00,6.0,-0.0,6.0,9.2549812,0.0,-2.4,0.24118863111111113,5.6549812,1,0.0
2018-01-03 09:00:00,9.0,-0.0,9.0,10.191283,0.0,-3.6,0.24751888888888887,4.7912828,1,0.0
2018-01-03 10:00:00,3.0,-0.0,3.0,13.324292,0.0,-1.2,0.32904656,11.524292,1,0.0
2018-01-03 11:00:00,3.0,-0.0,3.0,14.296605,0.0,-1.2,0.4183527377777778,12.496605,1,0.0
2018-01-03 12:00:00,3.0,-0.0,3.0,13.648396,0.0,-1.2,0.5024732444444444,11.848396,1,0.0
2018-01-03 13:00:00,6.0,-0.0,6.0,11.523712,0.0,-2.4,0.5445296,7.923712,1,0.0
2018-01-03 14:00:00,3.0,-0.0,3.0,8.462726,0.0,-1.2,0.5871647466666666,6.662726,1,0.0
2018-01-03 15:00:00,24.0,-0.0,24.0,3.781218,0.66274821,-19.556034,0.41333333333333333,0.0,1,0.0
2018-01-03 16:00:00,21.0,-0.0,21.0,0.0,21.0,-0.0,0.41333333333333333,0.0,1,0.0
2018-01-03 17:00:00,24.0,-0.0,24.0,0.0,0.0,-24.0,0.2,0.0,0,0.0
2018-01-03 18:00:00,8.0,-0.0,8.0,0.0,8.0,-0.0,0.2,0.0,1,0.0
2018-01-03 19:00:00,12.0,-0.0,12.0,0.0,12.0,-0.0,0.2,0.0,1,0.0
2018-01-03 20:00:00,20.0,-0.0,20.0,0.0,20.0,-0.0,0.2,0.0,1,0.0
2018-01-03 21:00:00,20.0,-0.0,20.0,0.0,20.0,-0.0,0.2,0.0,1,0.0
2018-01-03 22:00:00,8.0,-0.0,8.0,0.0,8.0,-0.0,0.2,0.0,1,0.0
2018-01-03 23:00:00,8.0,-0.0,8.0,0.0,8.0,-0.0,0.2,0.0,1,0.0
2018-01-04 00:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
2018-01-04 01:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
2018-01-04 02:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
2018-01-04 03:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,0,0.0
2018-01-04 04:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
2018-01-04 05:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
2018-01-04 06:00:00,2.0,-0.0,2.0,2.0886728,0.00019447288,-0.79980553,0.2,0.88867281,1,0.0
2018-01-04 07:00:00,4.0,-0.0,4.0,7.7064824,0.0,-1.6,0.2,1.7777778,1,3.5287047
2018-01-04 08:00:00,6.0,-0.0,6.0,12.38799,0.0,-2.4,0.22908700444444444,6.3025418,0,2.4854487
2018-01-04 09:00:00,3.0,-0.0,3.0,17.069498,0.0,-1.2,0.34057632,15.269498,0,0.0
2018-01-04 10:00:00,6.0,-0.0,6.0,19.986438,0.0,-2.4,0.45033449777777773,16.386438,1,0.0
2018-01-04 11:00:00,6.0,-0.0,6.0,22.975401,0.0,-2.4,0.5840043644444445,19.375401,1,0.0
2018-01-04 12:00:00,3.0,-0.0,3.0,23.299505,0.0,-1.2,0.7453337422222223,21.499505,1,0.0
2018-01-04 13:00:00,3.0,-0.0,3.0,20.274531,0.0,-1.2,0.8824633244444444,18.474531,1,0.0
2018-01-04 14:00:00,0.0,-0.0,0.0,14.548686,0.0,-0.0,0.9988528,14.548686,1,0.0
2018-01-04 15:00:00,6.0,-0.0,6.0,6.4100648,0.0,-2.4,1.0,2.8100648,1,0.0
2018-01-04 16:00:00,9.0,-0.0,9.0,0.0360116,0.0,-8.9639884,0.9203200888888889,0.0,1,0.0
2018-01-04 17:00:00,15.0,-0.0,15.0,0.0,0.0,-15.0,0.7869867733333333,0.0,1,0.0
2018-01-04 18:00:00,11.0,-0.0,11.0,0.0,0.0,-11.0,0.6892089955555556,0.0,1,0.0
2018-01-04 19:00:00,39.0,-0.0,39.0,0.0,0.0,-39.0,0.34254232888888886,0.0,0,0.0
2018-01-04 20:00:00,22.0,-0.0,22.0,0.0,5.9639884,-16.036012,0.2,0.0,1,0.0
2018-01-04 21:00:00,10.0,-0.0,10.0,0.0,10.0,-0.0,0.2,0.0,1,0.0
2018-01-04 22:00:00,20.0,-0.0,20.0,0.0,20.0,-0.0,0.2,0.0,1,0.0
2018-01-04 23:00:00,20.0,-0.0,20.0,0.0,20.0,-0.0,0.2,0.0,1,0.0
2018-01-05 00:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
2018-01-05 01:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
2018-01-05 02:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
2018-01-05 03:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
2018-01-05 04:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
2018-01-05 05:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
2018-01-05 06:00:00,4.0,-0.0,4.0,3.7091948,0.42172467,-1.1782753,0.2,1.3091948,1,0.0
2018-01-05 07:00:00,4.0,-0.0,4.0,12.243944,0.0,-1.6,0.2,1.7777778,1,8.0661663
2018-01-05 08:00:00,0.0,-0.0,0.0,20.094473,0.0,-0.0,0.2,0.0,1,20.094473
2018-01-05 09:00:00,6.0,-0.0,6.0,24.271818,0.0,-2.4,0.24780784888888888,8.6426476,1,12.029171
2018-01-05 10:00:00,6.0,-0.0,6.0,26.32448,0.0,-2.4,0.4082703555555556,22.72448,1,0.0
2018-01-05 11:00:00,3.0,-0.0,3.0,26.936677,0.0,-1.2,0.5986971022222223,25.136677,1,0.0
2018-01-05 12:00:00,3.0,-0.0,3.0,25.316155,0.0,-1.2,0.7761596711111112,23.516155,1,0.0
2018-01-05 13:00:00,3.0,-0.0,3.0,21.678983,0.0,-1.2,0.924524888888889,19.878983,1,0.0
2018-01-05 14:00:00,6.0,-0.0,6.0,15.701058,0.0,-2.4,1.0,12.101058,1,0.0
2018-01-05 15:00:00,15.0,-0.0,15.0,7.022262,0.0,-7.977738,0.9290867555555555,0.0,1,0.0
2018-01-05 16:00:00,15.0,-0.0,15.0,0.0360116,0.0,-14.963988,0.7960735466666666,0.0,1,0.0
2018-01-05 17:00:00,21.0,-0.0,21.0,0.0,0.0,-21.0,0.60940688,0.0,1,0.0
2018-01-05 18:00:00,40.0,-0.0,40.0,0.0,5.9417264,-34.058274,0.30666666666666664,0.0,1,0.0
2018-01-05 19:00:00,22.0,-0.0,22.0,0.0,22.0,-0.0,0.30666666666666664,0.0,1,0.0
2018-01-05 20:00:00,7.0,-0.0,7.0,0.0,7.0,-0.0,0.30666666666666664,0.0,1,0.0
2018-01-05 21:00:00,8.0,-0.0,8.0,0.0,0.0,-8.0,0.23555555555555555,0.0,0,0.0
2018-01-05 22:00:00,4.0,-0.0,4.0,0.0,0.0,-4.0,0.2,0.0,0,0.0
2018-01-05 23:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
2018-01-06 00:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
2018-01-06 01:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,0,0.0
2018-01-06 02:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
2018-01-06 03:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
2018-01-06 04:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
2018-01-06 05:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,0.0,1,0.0
