,Demand supply,PV generation,GenSet,Discharge storage,Charge storage,Excess electricity,Consumption from main grid,Feed into main grid
2018-01-01 00:00:00,5.41078,0.0,-0.0,0.0,0.0,0.0,5.41078,0.0
2018-01-01 01:00:00,5.41078,0.0,-0.0,0.0,0.0,0.0,5.41078,0.0
2018-01-01 02:00:00,5.41078,0.0,-0.0,0.0,0.0,0.0,5.41078,0.0
2018-01-01 03:00:00,5.41078,0.0,-0.0,0.0,0.0,0.0,5.41078,0.0
2018-01-01 04:00:00,10.3633,0.0,-0.0,0.0,0.0,0.0,10.3633,0.0
2018-01-01 05:00:00,12.7843,0.0,-0.0,0.0,0.0,0.0,12.7843,0.0
2018-01-01 06:00:00,21.6117,7.183525,-0.0,0.0,0.0,0.0,14.428175,0.0
2018-01-01 07:00:00,17.5444,30.624501,-0.0,0.0,0.0,0.0,0.0,13.080101
2018-01-01 08:00:00,18.1454,53.18329,-0.0,0.0,0.0,0.0,0.0,35.03789
2018-01-01 09:00:00,18.1454,70.322929,-0.0,0.0,0.0,0.0,0.0,52.177529
2018-01-01 10:00:00,21.7224,75.742079,-0.0,0.0,0.0,0.0,0.0,54.019679
2018-01-01 11:00:00,21.7224,76.750293,-0.0,0.0,0.0,0.0,4.081107,59.109
2018-01-01 12:00:00,21.7224,64.273644,-0.0,0.0,0.0,0.0,16.557756,59.109
2018-01-01 13:00:00,20.9744,52.931237,-0.0,0.0,0.0,0.0,0.0,31.956837
2018-01-01 14:00:00,21.9254,38.690213,-0.0,0.0,0.0,0.0,0.0,16.764813
2018-01-01 15:00:00,23.8114,22.306735,-0.0,0.0,0.0,0.0,1.5046646,0.0
2018-01-01 16:00:00,27.934,12.098568,-0.0,0.0,0.0,0.0,15.835432,0.0
2018-01-01 17:00:00,39.211999999999996,4.4109364,-0.0,0.0,0.0,0.0,34.801064,0.0
2018-01-01 18:00:00,52.8735,0.0,-0.0,0.0,0.0,0.0,52.8735,0.0
2018-01-01 19:00:00,59.108999999999995,0.0,-0.0,3.1952125e-11,0.0,0.0,59.109,0.0
2018-01-01 20:00:00,41.52458,0.0,-0.0,0.0,0.0,0.0,41.52458,0.0
