,Demand,Demand shortage,Demand supplied,PV generation,Wind generation,Storage discharge,Storage charge,Genset generation,Excess generation
2018-01-01 00:00:00,0.0,-0.0,0.0,0.0,5.5744561,-0.0,0.0,0.0,5.5744561
2018-01-01 01:00:00,0.0,-0.0,0.0,0.0,5.938573,-0.0,0.0,0.0,5.938573
2018-01-01 02:00:00,0.0,-0.0,0.0,0.0,6.0772842,-0.0,0.0,0.0,6.0772842
2018-01-01 03:00:00,0.0,-0.0,0.0,0.0,6.0686148,-0.0,0.0,0.0,6.0686148
2018-01-01 04:00:00,0.0,-0.0,0.0,0.0,5.9732508,-0.0,0.0,0.0,5.9732508
2018-01-01 05:00:00,0.0,-0.0,0.0,0.0,5.8518785,-0.0,0.0,0.0,5.8518785
2018-01-01 06:00:00,0.0,-0.0,0.0,0.0,5.7044979,-0.0,0.0,0.0,5.7044979
2018-01-01 07:00:00,0.0,-0.0,0.0,0.0,5.4964311,-0.0,0.0,0.0,5.4964311
2018-01-01 08:00:00,0.0,-0.0,0.0,0.0,5.1323142,-0.0,0.0,0.0,5.1323142
2018-01-01 09:00:00,0.0,-0.0,0.0,0.0,4.7248501,-0.0,0.0,0.0,4.7248501
2018-01-01 10:00:00,0.0,-0.0,0.0,0.0,4.7508584,-0.0,0.0,0.0,4.7508584
2018-01-01 11:00:00,0.0,-0.0,0.0,0.0,4.8722307,-0.0,0.0,0.0,4.8722307
2018-01-01 12:00:00,0.0,-0.0,0.0,0.0,5.0456197,-0.0,0.0,0.0,5.0456197
2018-01-01 13:00:00,0.0,-0.0,0.0,0.0,5.1843309,-0.0,0.0,0.0,5.1843309
2018-01-01 14:00:00,0.0,-0.0,0.0,0.0,5.3230421,-0.0,0.0,0.0,5.3230421
2018-01-01 15:00:00,0.0,-0.0,0.0,0.0,5.4877616,-0.0,0.0,0.0,5.4877616
2018-01-01 16:00:00,1.2516,-0.0,1.2516,0.0,5.5484478,-0.0,2.1828649,0.0,2.1139829
2018-01-01 17:00:00,5.0958,-0.0,5.0958,0.0,5.5224394,-0.0,0.42663945,0.0,0.0
2018-01-01 18:00:00,6.4368,-0.0,6.4368,0.0,5.4964311,-0.9403689,0.0,0.0,0.0
2018-01-01 19:00:00,6.9732,-0.0,6.9732,0.0,5.51377,-1.408185,0.0,0.051244983,0.0
2018-01-01 20:00:00,5.9898,-0.0,5.9898,0.0,5.5311089,-0.0,0.0,0.4586911,0.0
2018-01-01 21:00:00,4.47,-0.0,4.47,0.0,5.5744561,-0.0,0.0,0.0,1.1044561
2018-01-01 22:00:00,3.7548,-0.0,3.7548,0.0,5.6178034,-0.0,0.0,0.0,1.8630034
2018-01-01 23:00:00,0.0,-0.0,0.0,0.0,5.8085313,-0.0,0.0,0.0,5.8085313
2018-01-02 00:00:00,0.0,-0.0,0.0,0.0,6.1813176,-0.0,0.0,0.0,6.1813176
2018-01-02 01:00:00,0.0,-0.0,0.0,0.0,6.0772842,-0.0,0.0,0.0,6.0772842
2018-01-02 02:00:00,0.0,-0.0,0.0,0.0,5.7998618,-0.0,0.0,0.0,5.7998618
2018-01-02 03:00:00,0.0,-0.0,0.0,0.0,5.4270755,-0.0,0.0,0.0,5.4270755
2018-01-02 04:00:00,0.0,-0.0,0.0,0.0,4.9589252,-0.0,0.0,0.0,4.9589252
2018-01-02 05:00:00,0.0,-0.0,0.0,0.0,4.473436,-0.0,0.0,0.0,4.473436
2018-01-02 06:00:00,0.0,-0.0,0.0,0.0,4.0312941,-0.0,0.0,0.0,4.0312941
2018-01-02 07:00:00,0.0,-0.0,0.0,0.0,3.5891522,-0.0,0.0,0.0,3.5891522
2018-01-02 08:00:00,0.0,-0.0,0.0,0.0,3.0949935,-0.0,0.0,0.0,3.0949935
2018-01-02 09:00:00,0.0,-0.0,0.0,0.0,2.7655544,-0.0,0.0,0.0,2.7655544
2018-01-02 10:00:00,0.0,-0.0,0.0,0.0,2.6181738,-0.0,0.0,0.0,2.6181738
2018-01-02 11:00:00,0.0,-0.0,0.0,0.0,2.505471,-0.0,0.0,0.0,2.505471
2018-01-02 12:00:00,0.0,-0.0,0.0,0.0,2.4707932,-0.0,0.0,0.0,2.4707932
2018-01-02 13:00:00,0.0,-0.0,0.0,0.0,2.4447848,-0.0,0.0,0.0,2.4447848
2018-01-02 14:00:00,0.0,-0.0,0.0,0.0,2.3147431,-0.0,0.0,0.0,2.3147431
2018-01-02 15:00:00,0.0,-0.0,0.0,0.0,2.1760319,-0.0,1.8411226,0.0,0.33490929
2018-01-02 16:00:00,1.2516,-0.0,1.2516,0.0,2.0199818,-0.0,0.76838178,0.0,0.0
2018-01-02 17:00:00,5.0958,-0.0,5.0958,0.0,1.8812706,-2.3485539,0.0,0.8659755,0.0
2018-01-02 18:00:00,6.4368,-0.0,6.4368,0.0,1.8032455,-0.0,0.0,4.6335545,0.0
2018-01-02 19:00:00,6.9732,-0.0,6.9732,0.0,1.811915,-0.0,0.0,5.161285,0.0
2018-01-02 20:00:00,5.9898,-0.0,5.9898,0.0,1.8726011,-0.0,0.0,4.1171989,0.0
